row	column	plate	well	UID	clone	name	marker
1	1	-	-	ECK2956	ECK2956-1-1	mutY	aph(KEIO:mutY)
1	2	-	-	ECK2956	ECK2956-1-2	mutY	aph(KEIO:mutY)
1	3	-	-	ECK2373	ECK2373-1-3	yfdY	aph(KEIO:yfdY)
1	4	-	-	ECK2373	ECK2373-1-4	yfdY	aph(KEIO:yfdY)
1	5	-	-	ECK3733	ECK3733-1-5	rsmG	aph(KEIO:rsmG)
1	6	-	-	ECK3733	ECK3733-1-6	rsmG	aph(KEIO:rsmG)
1	7	-	-	ECK1594	ECK1594-1-7	mdtI	aph(KEIO:mdtI)
1	8	-	-	ECK1594	ECK1594-1-8	mdtI	aph(KEIO:mdtI)
1	9	-	-	ECK1019	ECK1019-1-9	ghrA	aph(KEIO:ghrA)
1	10	-	-	ECK1019	ECK1019-1-10	ghrA	aph(KEIO:ghrA)
1	11	-	-	ECK2283	ECK2283-1-11	lrhA	aph(KEIO:lrhA)
1	12	-	-	ECK2283	ECK2283-1-12	lrhA	aph(KEIO:lrhA)
1	13	-	-	ECK0615	ECK0615-1-13	pagP	aph(KEIO:pagP)
1	14	-	-	ECK0615	ECK0615-1-14	pagP	aph(KEIO:pagP)
1	15	-	-	ECK0866	ECK0866-1-15	aqpZ	aph(KEIO:aqpZ)
1	16	-	-	ECK0866	ECK0866-1-16	aqpZ	aph(KEIO:aqpZ)
1	17	-	-	ECK1778	ECK1778-1-17	yeaD	aph(KEIO:yeaD)
1	18	-	-	ECK1778	ECK1778-1-18	yeaD	aph(KEIO:yeaD)
1	19	-	-	ECK2935	ECK2935-1-19	yqgC	aph(KEIO:yqgC)
1	20	-	-	ECK2935	ECK2935-1-20	yqgC	aph(KEIO:yqgC)
1	21	-	-	ECK1448	ECK1448-1-21	yncG	aph(KEIO:yncG)
1	22	-	-	ECK1448	ECK1448-1-22	yncG	aph(KEIO:yncG)
1	23	-	-	ECK3397	ECK3397-1-23	feoC	aph(KEIO:feoC)
1	24	-	-	ECK3397	ECK3397-1-24	feoC	aph(KEIO:feoC)
1	25	-	-	ECK2063	ECK2063-1-25	yegD	aph(KEIO:yegD)
1	26	-	-	ECK2063	ECK2063-1-26	yegD	aph(KEIO:yegD)
1	27	-	-	ECK3796	ECK3796-1-27	hemY	aph(KEIO:hemY)
1	28	-	-	ECK3796	ECK3796-1-28	hemY	aph(KEIO:hemY)
1	29	-	-	ECK0536	ECK0536-1-29	ybcL	aph(KEIO:ybcL)
1	30	-	-	ECK0536	ECK0536-1-30	ybcL	aph(KEIO:ybcL)
1	31	-	-	ECK0002	ECK0002-1-31	thrA	aph(KEIO:thrA)
1	32	-	-	ECK0002	ECK0002-1-32	thrA	aph(KEIO:thrA)
1	33	-	-	ECK1701	ECK1701-1-33	ppsR	aph(KEIO:ppsR)
1	34	-	-	ECK1701	ECK1701-1-34	ppsR	aph(KEIO:ppsR)
1	35	-	-	ECK1068	ECK1068-1-35	flgL	aph(KEIO:flgL)
1	36	-	-	ECK1068	ECK1068-1-36	flgL	aph(KEIO:flgL)
1	37	-	-	ECK0492	ECK0492-1-37	ybbC	aph(KEIO:ybbC)
1	38	-	-	ECK0492	ECK0492-1-38	ybbC	aph(KEIO:ybbC)
1	39	-	-	ECK3252	ECK3252-1-39	acrE	aph(KEIO:acrE)
1	40	-	-	ECK3252	ECK3252-1-40	acrE	aph(KEIO:acrE)
1	41	-	-	ECK1996	ECK1996-1-41	yeeT	aph(KEIO:yeeT)
1	42	-	-	ECK1996	ECK1996-1-42	yeeT	aph(KEIO:yeeT)
1	43	-	-	ECK2656	ECK2656-1-43	gabT	aph(KEIO:gabT)
1	44	-	-	ECK2656	ECK2656-1-44	gabT	aph(KEIO:gabT)
1	45	-	-	ECK2066	ECK2066-1-45	yegK	aph(KEIO:yegK)
1	46	-	-	ECK2066	ECK2066-1-46	yegK	aph(KEIO:yegK)
1	47	-	-	ECK0345	ECK0345-1-47	mhpB	aph(KEIO:mhpB)
