row  column  size-1  circ-1
1 1 2427 0.48
1 2 1865 0.611
1 3 1800 0.416
1 4 2041 0.57
1 5 2416 0.554
1 6 1897 0.519
1 7 2302 0.583
1 8 1332 0.651
1 9 2113 0.478
1 10 2177 0.56
1 11 2182 0.482
1 12 1637 0.597
1 13 2140 0.486
1 14 2274 0.615
1 15 801 0.626
1 16 377 0.641
1 17 1185 0.492
1 18 2724 0.496
1 19 782 0.474
1 20 719 0.587
1 21 2024 0.595
1 22 2115 0.455
1 23 184 0.363
1 24 1861 0.495
1 25 1887 0.618
1 26 1830 0.538
1 27 1868 0.561
1 28 1926 0.471
1 29 1292 0.661
1 30 1821 0.573
1 31 1940 0.599
1 32 1658 0.482
1 33 1546 0.661
1 34 1533 0.612
1 35 1512 0.59
1 36 1598 0.544
1 37 1592 0.613
1 38 1345 0.651
1 39 1447 0.664
1 40 1435 0.529
1 41 1151 0.617
1 42 1411 0.55
1 43 1422 0.619
1 44 1691 0.545
1 45 248 0.482
1 46 124 0.803
1 47 1679 0.633
1 48 1115 0.558
2 1 1370 0.358
2 2 1534 0.57
2 3 1501 0.503
2 4 1261 0.438
2 5 1466 0.518
2 6 1580 0.5
2 7 1365 0.473
2 8 1511 0.683
2 9 925 0.312
2 10 940 0.356
2 11 1496 0.505
2 12 1381 0.439
2 13 1444 0.609
2 14 1596 0.402
2 15 1381 0.471
2 16 1620 0.572
2 17 1610 0.428
2 18 1567 0.4
2 19 1258 0.521
2 20 1472 0.372
2 21 1727 0.516
2 22 1528 0.483
2 23 872 0.52
2 24 1230 0.447
2 25 1332 0.452
2 26 598 0.331
2 27 1321 0.606
2 28 1351 0.522
2 29 854 0.256
2 30 1220 0.506
2 31 991 0.307
2 32 1246 0.44
2 33 1112 0.507
2 34 1055 0.496
2 35 1198 0.479
2 36 1067 0.447
2 37 929 0.467
2 38 1097 0.683
2 39 913 0.44
2 40 1083 0.516
2 41 1187 0.498
2 42 1341 0.565
2 43 986 0.33
2 44 967 0.461
2 45 1168 0.503
2 46 1307 0.562
2 47 923 0.358
2 48 1069 0.343
3 1 1844 0.429
3 2 1430 0.583
3 3 1507 0.575
3 4 1547 0.427
3 5 1520 0.638
3 6 1696 0.338
3 7 983 0.465
3 8 1459 0.532
3 9 1468 0.545
3 10 1182 0.56
3 11 1305 0.562
3 12 1475 0.582
3 13 1424 0.433
3 14 1032 0.386
3 15 672 0.25
3 16 672 0.16
3 17 1443 0.498
3 18 1444 0.494
3 19 1212 0.409
3 20 1252 0.539
3 21 358 0.164
3 22 704 0.205
3 23 1445 0.362
3 24 1284 0.422
3 25 1265 0.501
3 26 1370 0.38
3 27 1167 0.424
3 28 1076 0.225
3 29 1081 0.312
3 30 934 0.238
3 31 1120 0.367
3 32 1258 0.556
3 33 615 0.177
3 34 963 0.306
3 35 1153 0.633
3 36 966 0.298
3 37 933 0.352
3 38 931 0.329
3 39 1013 0.445
3 40 867 0.392
3 41 1152 0.405
3 42 924 0.339
3 43 986 0.51
3 44 849 0.351
3 45 980 0.395
3 46 1097 0.495
3 47 313 0.556
3 48 892 0.311
4 1 1738 0.389
4 2 1485 0.43
4 3 1385 0.502
4 4 1379 0.662
4 5 1561 0.234
4 6 1398 0.458
4 7 1543 0.479
4 8 1588 0.303
4 9 1363 0.413
4 10 1339 0.369
4 11 1301 0.558
4 12 1040 0.357
4 13 1346 0.352
4 14 1507 0.328
4 15 1328 0.464
4 16 1572 0.33
4 17 1224 0.437
4 18 840 0.176
4 19 854 0.395
4 20 1419 0.504
4 21 1162 0.283
4 22 1010 0.402
4 23 711 0.161
4 24 1339 0.245
4 25 1438 0.345
4 26 805 0.163
4 27 1137 0.361
4 28 1167 0.466
4 29 1168 0.314
4 30 722 0.241
4 31 997 0.403
4 32 927 0.292
4 33 1061 0.319
4 34 1183 0.495
4 35 641 0.155
4 36 943 0.362
4 37 1020 0.475
4 38 943 0.347
4 39 1025 0.417
4 40 1037 0.399
4 41 1103 0.463
4 42 805 0.42
4 43 842 0.245
4 44 999 0.404
4 45 888 0.371
4 46 1111 0.415
4 47 986 0.625
4 48 998 0.294
5 1 2173 0.452
