row  column  size-1  circ-1
1 1 1253 0.482
1 2 1211 0.364
1 3 1508 0.289
1 4 1388 0.36
1 5 1375 0.473
1 6 1231 0.39
1 7 1405 0.505
1 8 1365 0.387
1 9 1337 0.347
1 10 1476 0.374
1 11 1040 0.5
1 12 1034 0.457
1 13 543 0.414
1 14 682 0.485
1 15 1108 0.408
1 16 1210 0.431
1 17 724 0.45
1 18 784 0.408
1 19 1133 0.429
1 20 1104 0.363
1 21 1038 0.453
1 22 1034 0.361
1 23 949 0.471
1 24 921 0.313
1 25 1043 0.51
1 26 1130 0.361
1 27 831 0.508
1 28 1080 0.527
1 29 927 0.416
1 30 875 0.631
1 31 519 0.449
1 32 992 0.512
1 33 734 0.466
1 34 1072 0.374
1 35 71 0.528
1 36 0 0.0
1 37 787 0.436
1 38 809 0.484
1 39 671 0.484
1 40 792 0.477
1 41 955 0.306
1 42 739 0.35
1 43 769 0.354
1 44 758 0.415
1 45 740 0.57
1 46 810 0.538
1 47 659 0.53
1 48 719 0.5
2 1 1027 0.449
2 2 1150 0.27
2 3 2170 0.213
2 4 1340 0.283
2 5 1707 0.266
2 6 1515 0.439
2 7 1243 0.365
2 8 1161 0.358
2 9 1045 0.397
2 10 1079 0.301
2 11 1292 0.34
2 12 975 0.49
2 13 1000 0.476
2 14 993 0.366
2 15 785 0.317
2 16 1032 0.337
2 17 779 0.406
2 18 881 0.304
2 19 1079 0.24
2 20 735 0.303
2 21 800 0.429
2 22 846 0.546
2 23 734 0.322
2 24 808 0.342
2 25 773 0.39
2 26 774 0.439
2 27 889 0.321
2 28 546 0.474
2 29 717 0.472
2 30 685 0.456
2 31 440 0.401
2 32 813 0.534
2 33 404 0.498
2 34 371 0.426
2 35 601 0.356
2 36 783 0.593
2 37 599 0.367
2 38 691 0.32
2 39 604 0.392
2 40 683 0.453
2 41 618 0.422
2 42 565 0.645
2 43 526 0.456
2 44 618 0.51
2 45 581 0.522
2 46 600 0.538
2 47 593 0.353
2 48 621 0.396
3 1 1193 0.534
3 2 1237 0.301
3 3 1098 0.401
3 4 1233 0.26
3 5 1480 0.257
3 6 1237 0.265
3 7 1187 0.233
3 8 1274 0.441
3 9 1760 0.204
3 10 776 0.422
3 11 920 0.353
3 12 847 0.406
3 13 0 0.0
3 14 0 0.0
3 15 929 0.468
3 16 760 0.306
3 17 806 0.399
3 18 824 0.269
3 19 1029 0.362
3 20 836 0.386
3 21 784 0.34
3 22 840 0.28
3 23 858 0.323
3 24 849 0.359
3 25 733 0.334
3 26 708 0.266
3 27 594 0.316
3 28 641 0.327
3 29 608 0.33
3 30 665 0.401
3 31 686 0.452
3 32 700 0.454
3 33 597 0.337
3 34 666 0.491
3 35 391 0.518
3 36 341 0.468
3 37 521 0.394
3 38 674 0.34
3 39 480 0.407
3 40 543 0.397
3 41 566 0.477
3 42 564 0.427
3 43 538 0.442
3 44 526 0.352
3 45 809 0.305
3 46 701 0.46
3 47 813 0.396
3 48 514 0.373
4 1 1761 0.246
4 2 1363 0.23
4 3 1126 0.349
4 4 1348 0.409
4 5 1313 0.28
4 6 1185 0.321
4 7 680 0.4
4 8 962 0.363
4 9 858 0.291
4 10 1192 0.446
4 11 789 0.423
4 12 750 0.256
4 13 843 0.406
4 14 802 0.319
4 15 826 0.441
4 16 856 0.38
4 17 653 0.411
4 18 773 0.394
4 19 857 0.34
4 20 860 0.292
4 21 708 0.3
4 22 722 0.355
4 23 827 0.387
4 24 749 0.302
4 25 670 0.479
4 26 791 0.533
4 27 723 0.373
4 28 758 0.267
4 29 645 0.391
4 30 461 0.362
4 31 665 0.445
4 32 479 0.593
4 33 635 0.4
4 34 674 0.345
4 35 588 0.523
4 36 599 0.366
4 37 522 0.338
4 38 523 0.505
4 39 435 0.48
4 40 495 0.319
4 41 453 0.436
4 42 512 0.411
4 43 534 0.364
4 44 483 0.453
4 45 508 0.608
4 46 799 0.39
4 47 816 0.52
4 48 868 0.532
5 1 1506 0.236
5 2 2439 0.23
5 3 1167 0.26
5 4 1239 0.265
5 5 1065 0.316
5 6 973 0.267
5 7 1087 0.392
5 8 931 0.364
5 9 1353 0.351
5 10 414 0.47
5 11 1120 0.268
5 12 1092 0.215
5 13 790 0.302
5 14 689 0.334
5 15 721 0.343
5 16 907 0.406
5 17 638 0.484
5 18 965 0.29
5 19 771 0.333
5 20 757 0.407
5 21 900 0.386
5 22 643 0.291
5 23 813 0.326
5 24 798 0.387
5 25 791 0.523
5 26 627 0.389
5 27 774 0.23
5 28 711 0.351
5 29 790 0.38
5 30 639 0.452
5 31 737 0.407
5 32 654 0.3
5 33 719 0.404
5 34 575 0.312
5 35 726 0.337
5 36 571 0.453
5 37 539 0.304
5 38 597 0.392
5 39 446 0.417
5 40 616 0.408
5 41 555 0.403
5 42 597 0.298
5 43 549 0.423
5 44 495 0.381
5 45 621 0.317
5 46 715 0.288
5 47 808 0.351
5 48 745 0.405
6 1 2325 0.195
6 2 1791 0.106
6 3 1468 0.178
6 4 1353 0.218
6 5 1117 0.394
6 6 1112 0.307
6 7 1641 0.217
6 8 1326 0.237
6 9 1092 0.249
6 10 769 0.299
6 11 774 0.367
6 12 850 0.388
6 13 681 0.373
6 14 651 0.545
6 15 758 0.355
6 16 895 0.42
6 17 816 0.42
6 18 799 0.451
6 19 770 0.253
6 20 909 0.285
6 21 804 0.284
6 22 819 0.319
6 23 319 0.585
6 24 720 0.294
6 25 817 0.407
6 26 714 0.3
6 27 882 0.319
6 28 801 0.44
6 29 736 0.381
6 30 713 0.432
6 31 612 0.382
6 32 564 0.381
6 33 652 0.323
6 34 502 0.416
6 35 611 0.31
6 36 672 0.344
6 37 517 0.452
6 38 609 0.272
6 39 505 0.308
6 40 393 0.338
6 41 595 0.432
6 42 463 0.338
6 43 613 0.471
6 44 673 0.287
6 45 567 0.517
6 46 652 0.388
6 47 651 0.536
6 48 943 0.402
7 1 1643 0.373
7 2 1904 0.174
7 3 1724 0.164
7 4 1813 0.165
7 5 1951 0.305
7 6 1120 0.218
7 7 1258 0.269
7 8 1139 0.212
7 9 851 0.306
7 10 868 0.261
7 11 883 0.316
7 12 845 0.317
7 13 916 0.334
7 14 1273 0.206
7 15 801 0.314
7 16 840 0.393
7 17 1128 0.377
7 18 952 0.298
7 19 835 0.337
7 20 764 0.318
7 21 829 0.4
7 22 641 0.413
7 23 897 0.347
7 24 954 0.355
7 25 945 0.299
7 26 729 0.353
7 27 731 0.414
7 28 788 0.368
7 29 757 0.36
7 30 718 0.3
7 31 567 0.353
7 32 720 0.432
7 33 735 0.42
7 34 584 0.509
7 35 584 0.444
7 36 839 0.364
7 37 568 0.448
7 38 709 0.41
7 39 679 0.458
7 40 621 0.345
7 41 1043 0.434
7 42 523 0.35
7 43 461 0.309
7 44 595 0.407
7 45 547 0.443
7 46 771 0.32
7 47 892 0.411
7 48 788 0.353
8 1 1133 0.166
8 2 2113 0.119
8 3 2058 0.233
8 4 1317 0.264
8 5 892 0.372
8 6 1377 0.346
8 7 978 0.276
8 8 958 0.313
8 9 1076 0.315
8 10 797 0.301
8 11 934 0.349
8 12 850 0.345
8 13 796 0.417
8 14 726 0.355
8 15 466 0.446
8 16 485 0.322
8 17 869 0.409
8 18 835 0.412
8 19 816 0.335
8 20 932 0.253
8 21 752 0.292
8 22 750 0.332
8 23 767 0.368
8 24 706 0.348
8 25 899 0.379
8 26 745 0.336
8 27 413 0.412
8 28 719 0.421
8 29 728 0.291
8 30 702 0.3
8 31 587 0.392
8 32 631 0.224
8 33 701 0.56
8 34 543 0.37
8 35 676 0.353
8 36 624 0.29
8 37 626 0.372
8 38 910 0.245
8 39 0 0.0
8 40 0 0.0
8 41 521 0.44
8 42 558 0.456
8 43 612 0.338
8 44 766 0.407
8 45 513 0.452
8 46 548 0.273
8 47 926 0.431
8 48 910 0.374
9 1 1632 0.214
9 2 1824 0.136
9 3 1575 0.229
9 4 1597 0.213
9 5 1257 0.275
