row  column  size-1  circ-1
1 1 2108 0.351
1 2 1722 0.523
1 3 1639 0.52
1 4 1375 0.656
1 5 1813 0.641
1 6 1399 0.583
1 7 1396 0.595
1 8 1816 0.539
1 9 1801 0.494
1 10 1691 0.584
1 11 1868 0.575
1 12 1561 0.587
1 13 1712 0.525
1 14 1685 0.454
1 15 1691 0.586
1 16 1585 0.585
1 17 1244 0.57
1 18 1379 0.553
1 19 1325 0.637
1 20 1604 0.558
1 21 1725 0.375
1 22 1327 0.712
1 23 1379 0.679
1 24 1390 0.557
1 25 1341 0.526
1 26 1236 0.621
1 27 1469 0.49
1 28 1318 0.699
1 29 1056 0.675
1 30 960 0.578
1 31 1203 0.518
1 32 1279 0.592
1 33 1528 0.396
1 34 989 0.563
1 35 1281 0.67
1 36 1128 0.616
1 37 770 0.528
1 38 1172 0.556
1 39 1107 0.497
1 40 1375 0.449
1 41 1140 0.571
1 42 1032 0.645
1 43 1199 0.591
1 44 1260 0.589
1 45 1247 0.447
1 46 1376 0.506
1 47 1135 0.502
1 48 880 0.331
2 1 1520 0.47
2 2 1475 0.55
2 3 1148 0.525
2 4 1240 0.408
2 5 1558 0.536
2 6 1519 0.53
2 7 1104 0.531
2 8 1175 0.551
2 9 1188 0.563
2 10 1790 0.583
2 11 1297 0.516
2 12 1017 0.643
2 13 1485 0.631
2 14 1311 0.529
2 15 1309 0.701
2 16 975 0.636
2 17 1309 0.593
2 18 1004 0.534
2 19 1223 0.554
2 20 1137 0.61
2 21 1185 0.563
2 22 1312 0.58
2 23 1092 0.488
2 24 879 0.447
2 25 1023 0.526
2 26 1004 0.624
2 27 1073 0.535
2 28 948 0.734
2 29 938 0.646
2 30 791 0.525
2 31 810 0.492
2 32 963 0.387
2 33 1193 0.607
2 34 1174 0.377
2 35 1164 0.31
2 36 865 0.589
2 37 1006 0.502
2 38 1062 0.644
2 39 1131 0.562
2 40 1146 0.637
2 41 1111 0.507
2 42 1095 0.42
2 43 1078 0.623
2 44 788 0.536
2 45 1082 0.521
2 46 1099 0.595
2 47 933 0.432
2 48 649 0.382
3 1 1133 0.417
3 2 1164 0.63
3 3 1259 0.528
3 4 0 0.0
3 5 1447 0.586
3 6 1133 0.459
3 7 1245 0.574
3 8 1209 0.633
3 9 1468 0.512
3 10 1038 0.515
3 11 528 0.47
3 12 1107 0.432
3 13 1035 0.578
3 14 942 0.593
3 15 1366 0.562
3 16 1080 0.619
3 17 1102 0.476
3 18 903 0.506
3 19 1176 0.567
3 20 834 0.672
3 21 1091 0.611
3 22 973 0.549
3 23 651 0.495
3 24 981 0.514
3 25 1000 0.427
3 26 892 0.504
3 27 3020 0.516
3 28 928 0.551
3 29 893 0.563
3 30 1058 0.506
3 31 911 0.488
3 32 615 0.42
3 33 646 0.481
3 34 805 0.423
3 35 748 0.319
3 36 788 0.553
3 37 787 0.402
3 38 775 0.565
3 39 854 0.544
3 40 670 0.59
3 41 761 0.529
3 42 704 0.617
3 43 723 0.48
3 44 1146 0.484
3 45 1045 0.603
3 46 979 0.584
3 47 739 0.428
3 48 575 0.247
4 1 1494 0.503
4 2 1103 0.538
4 3 1358 0.627
4 4 1371 0.505
4 5 935 0.629
4 6 1432 0.507
4 7 1451 0.524
4 8 1188 0.469
4 9 913 0.591
4 10 1311 0.427
4 11 1149 0.591
4 12 1221 0.606
4 13 1023 0.565
4 14 1267 0.52
4 15 1177 0.614
4 16 965 0.669
4 17 1129 0.525
4 18 981 0.578
4 19 1199 0.483
4 20 1181 0.454
4 21 973 0.445
4 22 1034 0.448
4 23 1026 0.524
4 24 987 0.417
4 25 1001 0.528
4 26 1072 0.5
4 27 1072 0.584
4 28 1281 0.533
4 29 880 0.533
4 30 893 0.44
4 31 921 0.559
4 32 858 0.569
4 33 462 0.543
4 34 817 0.5
4 35 858 0.554
4 36 851 0.549
4 37 704 0.631
4 38 844 0.449
4 39 825 0.474
4 40 630 0.533
4 41 936 0.381
4 42 788 0.484
4 43 825 0.55
4 44 902 0.347
4 45 1524 0.391
4 46 827 0.542
4 47 1066 0.582
4 48 1068 0.442
5 1 1362 0.503
5 2 1187 0.597
5 3 1279 0.615
5 4 1299 0.471
5 5 1405 0.54
5 6 1408 0.482
5 7 1184 0.535
5 8 1148 0.529
5 9 976 0.506
5 10 1179 0.498
5 11 1326 0.502
5 12 1065 0.521
5 13 1008 0.58
5 14 1033 0.543
5 15 1166 0.489
5 16 987 0.557
5 17 1136 0.523
5 18 980 0.561
5 19 1207 0.428
5 20 901 0.567
5 21 1128 0.62
5 22 962 0.5
5 23 914 0.393
5 24 1159 0.505
5 25 881 0.602
5 26 1274 0.511
5 27 1162 0.408
5 28 989 0.51
5 29 934 0.423
5 30 971 0.416
5 31 716 0.393
5 32 812 0.564
5 33 663 0.654
5 34 656 0.592
5 35 570 0.647
5 36 801 0.539
5 37 814 0.513
5 38 1042 0.493
5 39 904 0.513
