row  column  size-1  circ-1
1 1 1994 0.348
1 2 2007 0.515
1 3 2121 0.503
1 4 1893 0.461
1 5 1958 0.48
1 6 2559 0.391
1 7 1569 0.532
1 8 1621 0.472
1 9 1776 0.463
1 10 1852 0.385
1 11 1622 0.376
1 12 1753 0.338
1 13 1620 0.397
1 14 1647 0.397
1 15 1394 0.567
1 16 1485 0.41
1 17 1792 0.419
1 18 2251 0.328
1 19 1418 0.429
1 20 1596 0.444
1 21 1575 0.484
1 22 1612 0.468
1 23 1451 0.391
1 24 1731 0.493
1 25 1887 0.333
1 26 1496 0.365
1 27 1539 0.345
1 28 1467 0.393
1 29 1868 0.499
1 30 1516 0.445
1 31 1357 0.412
1 32 1298 0.486
1 33 3084 0.558
1 34 2991 0.617
1 35 1160 0.466
1 36 1353 0.401
1 37 1491 0.438
1 38 1422 0.491
1 39 1381 0.58
1 40 1568 0.513
1 41 1556 0.419
1 42 1539 0.448
1 43 1439 0.424
1 44 1468 0.481
1 45 1282 0.463
1 46 1354 0.333
1 47 1261 0.314
1 48 1093 0.217
2 1 1284 0.328
2 2 1581 0.466
2 3 1773 0.463
2 4 1684 0.546
2 5 1409 0.405
2 6 1452 0.516
2 7 1158 0.359
2 8 1351 0.517
2 9 1543 0.363
2 10 1425 0.412
2 11 1607 0.341
2 12 1328 0.421
2 13 1147 0.385
2 14 1211 0.446
2 15 1394 0.51
2 16 1409 0.379
2 17 1272 0.472
2 18 1530 0.493
2 19 1226 0.517
2 20 1328 0.59
2 21 1256 0.45
2 22 1172 0.369
2 23 1312 0.421
2 24 1335 0.52
2 25 1310 0.525
2 26 1139 0.481
2 27 1037 0.411
2 28 1040 0.394
2 29 1163 0.372
2 30 1459 0.44
2 31 1145 0.428
2 32 1128 0.62
2 33 368 0.157
2 34 390 0.252
2 35 1051 0.424
2 36 1303 0.567
2 37 1095 0.332
2 38 753 0.312
2 39 0 0.0
2 40 1243 0.454
2 41 1370 0.445
2 42 1160 0.583
2 43 1082 0.356
2 44 942 0.372
2 45 759 0.44
2 46 666 0.366
2 47 1076 0.335
2 48 825 0.162
3 1 970 0.311
3 2 790 0.4
3 3 1686 0.466
3 4 1444 0.592
3 5 1482 0.4
3 6 1116 0.473
3 7 1462 0.386
3 8 1383 0.495
3 9 1721 0.368
3 10 1124 0.406
3 11 1304 0.44
3 12 1217 0.361
3 13 1182 0.42
3 14 1202 0.449
3 15 1515 0.461
3 16 1154 0.366
3 17 969 0.421
3 18 1126 0.472
3 19 1198 0.497
3 20 1126 0.326
3 21 0 0.0
3 22 0 0.0
3 23 1184 0.505
