Filename	Condition	Concentration	Source Plate	Flag	Batch
Acetate-5_A.jpg.dat	acetate	-	-	-	0
Acetate-5_B.jpg.dat	acetate	-	-	-	0
Acetate-5_C.jpg.dat	acetate	-	-	-	0
GlcNac-5_A.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-5_B.jpg.dat	N-acetyl glucosamine	-	-	-	0
GlcNac-5_C.jpg.dat	N-acetyl glucosamine	-	-	-	0
Glucosamine-5_A.jpg.dat	glucosamine	-	-	-	0
Glucosamine-5_B.jpg.dat	glucosamine	-	-	-	0
Glucosamine-5_C.jpg.dat	glucosamine	-	-	-	0
Glucose-5_A.jpg.dat	control	-	-	-	0
Glucose-5_B.jpg.dat	control	-	-	-	0
Glucose-5_C.jpg.dat	control	-	-	-	0
Maltose-5_A.jpg.dat	maltose	-	-	-	0
Maltose-5_B.jpg.dat	maltose	-	-	-	0
Maltose-5_C.jpg.dat	maltose	-	-	-	0
Succinate-5_A.jpg.dat	succinate	-	-	-	0
Succinate-5_B.jpg.dat	succinate	-	-	-	0
Succinate-5_C.jpg.dat	succinate	-	-	-	0
Glycerol-5_A.jpg.dat	glycerol	-	-	-	0
Glycerol-5_B.jpg.dat	glycerol	-	-	-	0
Glycerol-5_C.jpg.dat	glycerol	-	-	-	0
