row  column  size-1  circ-1
1 1 487 0.844
1 2 460 0.548
1 3 401 0.882
1 4 370 0.839
1 5 303 0.839
1 6 334 0.827
1 7 296 0.816
1 8 277 0.845
1 9 365 0.65
1 10 289 0.838
1 11 237 0.895
1 12 265 0.839
1 13 242 0.821
1 14 260 0.829
1 15 291 0.789
1 16 339 0.776
1 17 330 0.85
1 18 248 0.867
1 19 285 0.765
1 20 272 0.845
1 21 264 0.858
1 22 262 0.858
1 23 283 0.826
1 24 255 0.807
1 25 300 0.84
1 26 253 0.868
1 27 273 0.806
1 28 270 0.803
1 29 236 0.866
1 30 269 0.829
1 31 285 0.792
1 32 272 0.858
1 33 289 0.72
1 34 261 0.805
1 35 271 0.764
1 36 312 0.812
1 37 247 0.818
1 38 270 0.852
1 39 295 0.784
1 40 293 0.856
1 41 237 0.791
1 42 277 0.851
1 43 125 0.832
1 44 386 0.544
1 45 404 0.71
1 46 440 0.47
1 47 489 0.477
1 48 344 0.281
2 1 465 0.815
2 2 416 0.639
2 3 336 0.8
2 4 279 0.836
2 5 307 0.796
2 6 293 0.841
2 7 226 0.734
2 8 215 0.776
2 9 171 0.842
2 10 176 0.839
2 11 172 0.875
2 12 186 0.924
2 13 201 0.824
2 14 225 0.845
2 15 203 0.707
2 16 220 0.848
2 17 182 0.779
2 18 211 0.931
2 19 228 0.846
2 20 183 0.773
2 21 206 0.813
2 22 186 0.895
2 23 199 0.809
2 24 168 0.742
2 25 190 0.831
2 26 198 0.812
2 27 180 0.907
2 28 191 0.8
2 29 183 0.86
2 30 186 0.903
2 31 213 0.9
2 32 195 0.824
2 33 190 0.821
2 34 165 0.921
2 35 193 0.86
2 36 180 0.866
2 37 205 0.866
2 38 197 0.833
2 39 188 0.904
2 40 195 0.817
2 41 200 0.838
2 42 235 0.815
2 43 243 0.728
2 44 282 0.83
2 45 289 0.501
2 46 336 0.682
2 47 333 0.577
2 48 344 0.647
3 1 354 0.803
3 2 362 0.821
3 3 325 0.832
3 4 316 0.82
3 5 186 0.883
3 6 161 0.819
3 7 199 0.927
3 8 186 0.598
3 9 193 0.753
3 10 168 0.875
3 11 167 0.879
3 12 167 0.955
3 13 135 0.865
3 14 148 0.779
3 15 202 0.872
3 16 72 0.863
3 17 189 0.918
3 18 119 0.88
3 19 151 0.779
3 20 165 0.638
3 21 158 0.778
3 22 189 0.861
3 23 126 0.829
3 24 186 0.866
3 25 192 0.812
3 26 125 0.952
3 27 179 0.911
3 28 73 0.907
3 29 179 0.834
3 30 219 0.754
3 31 146 0.856
