row  column  size-1  circ-1
1 1 190 0.923
1 2 203 0.904
1 3 166 0.959
1 4 195 0.888
1 5 197 0.886
1 6 229 0.875
1 7 239 0.877
1 8 200 0.827
1 9 128 0.936
1 10 226 0.784
1 11 167 0.841
1 12 160 0.948
1 13 124 0.907
1 14 166 0.95
1 15 180 0.895
1 16 188 0.884
1 17 99 0.799
1 18 109 0.907
1 19 195 0.861
1 20 181 0.9
1 21 197 0.878
1 22 214 0.824
1 23 204 0.909
1 24 205 0.783
1 25 217 0.898
1 26 199 0.849
1 27 213 0.828
1 28 210 0.877
1 29 217 0.879
1 30 191 0.898
1 31 203 0.885
1 32 238 0.856
1 33 224 0.87
1 34 244 0.903
1 35 30 0.857
1 36 52 0.956
1 37 269 0.865
1 38 216 0.91
1 39 219 0.788
1 40 239 0.711
1 41 348 0.789
1 42 311 0.826
1 43 418 0.886
1 44 402 0.846
1 45 400 0.755
1 46 418 0.719
1 47 475 0.435
1 48 508 0.442
2 1 169 0.953
2 2 194 0.872
2 3 200 0.928
2 4 194 0.912
2 5 188 0.913
2 6 199 0.895
2 7 150 0.912
2 8 157 0.898
2 9 169 0.911
2 10 167 0.932
2 11 168 0.846
2 12 164 0.972
2 13 160 0.915
2 14 174 0.894
2 15 182 0.803
2 16 184 0.945
2 17 166 0.895
2 18 167 0.811
2 19 207 0.894
2 20 162 0.917
2 21 157 0.931
2 22 160 0.925
2 23 167 0.932
2 24 163 0.9
2 25 151 0.928
2 26 156 0.925
2 27 169 0.92
2 28 112 0.915
2 29 166 0.926
2 30 155 0.878
2 31 147 0.894
2 32 176 0.875
2 33 101 0.888
2 34 101 0.946
2 35 200 0.82
2 36 200 0.872
2 37 189 0.842
2 38 188 0.904
2 39 239 0.813
2 40 210 0.869
2 41 181 0.952
2 42 214 0.933
2 43 260 0.845
2 44 307 0.747
2 45 236 0.883
2 46 311 0.783
2 47 364 0.707
2 48 456 0.815
3 1 154 0.961
3 2 216 0.921
3 3 150 0.912
3 4 175 0.899
3 5 170 0.894
3 6 158 0.913
3 7 150 0.936
3 8 158 0.937
3 9 150 0.88
3 10 174 0.885
3 11 170 0.894
3 12 163 0.879
3 13 0 0.0
3 14 0 0.0
3 15 160 0.902
3 16 159 0.933
3 17 160 0.893
3 18 148 0.847
3 19 155 0.909
3 20 141 0.949
3 21 135 0.96
3 22 160 0.893
3 23 146 0.921
3 24 159 0.91
3 25 157 0.921
3 26 161 0.912
3 27 160 0.834
3 28 156 0.853
3 29 171 0.922
3 30 157 0.921
