row  column  size-1  circ-1
1 1 533 0.699
1 2 578 0.74
1 3 533 0.618
1 4 482 0.766
1 5 511 0.823
1 6 385 0.787
1 7 371 0.771
1 8 423 0.824
1 9 407 0.809
1 10 369 0.85
1 11 389 0.855
1 12 404 0.856
1 13 400 0.784
1 14 417 0.847
1 15 411 0.789
1 16 385 0.808
1 17 358 0.85
1 18 390 0.871
1 19 325 0.804
1 20 372 0.8
1 21 377 0.818
1 22 369 0.814
1 23 355 0.85
1 24 343 0.827
1 25 331 0.833
1 26 335 0.849
1 27 354 0.764
1 28 334 0.832
1 29 328 0.691
1 30 319 0.828
1 31 295 0.797
1 32 280 0.9
1 33 302 0.851
1 34 274 0.897
1 35 297 0.874
1 36 324 0.867
1 37 333 0.83
1 38 331 0.806
1 39 328 0.799
1 40 429 0.836
1 41 315 0.736
1 42 338 0.74
1 43 402 0.794
1 44 406 0.853
1 45 399 0.81
1 46 414 0.846
1 47 434 0.793
1 48 459 0.832
2 1 403 0.875
2 2 520 0.759
2 3 0 0.0
2 4 35 0.834
2 5 442 0.76
2 6 384 0.852
2 7 298 0.825
2 8 318 0.806
2 9 356 0.82
2 10 325 0.797
2 11 0 0.0
2 12 214 0.842
2 13 332 0.68
2 14 310 0.874
2 15 0 0.0
2 16 287 0.809
2 17 42 0.744
2 18 39 0.858
2 19 0 0.0
2 20 34 0.941
2 21 276 0.848
2 22 267 0.656
2 23 0 0.0
2 24 251 0.895
2 25 203 0.913
2 26 227 0.9
2 27 141 0.81
2 28 149 0.874
2 29 230 0.776
2 30 235 0.829
2 31 188 0.755
2 32 217 0.836
2 33 213 0.733
2 34 256 0.761
2 35 204 0.889
2 36 194 0.813
2 37 213 0.838
2 38 196 0.749
2 39 236 0.741
2 40 240 0.888
2 41 237 0.75
2 42 243 0.891
2 43 262 0.752
2 44 260 0.892
2 45 33 0.913
2 46 33 0.965
2 47 329 0.814
2 48 445 0.83
3 1 513 0.851
3 2 420 0.83
3 3 411 0.81
3 4 404 0.808
3 5 317 0.857
3 6 317 0.834
3 7 343 0.855
3 8 299 0.745
3 9 247 0.782
3 10 264 0.739
3 11 293 0.847
3 12 253 0.766
3 13 251 0.794
3 14 251 0.854
3 15 249 0.616
3 16 259 0.848
3 17 235 0.815
3 18 252 0.763
3 19 236 0.682
3 20 238 0.753
3 21 248 0.86
3 22 196 0.901
3 23 180 0.754
3 24 197 0.851
3 25 170 0.818
3 26 189 0.663
3 27 159 0.724
3 28 219 0.766
3 29 221 0.895
3 30 187 0.783
3 31 207 0.849
3 32 184 0.745
3 33 207 0.821
3 34 191 0.745
3 35 177 0.922
3 36 196 0.854
3 37 205 0.848
3 38 185 0.862
3 39 160 0.77
3 40 181 0.742
3 41 197 0.859
3 42 203 0.825
3 43 221 0.887
3 44 238 0.863
3 45 255 0.868
3 46 291 0.737
3 47 300 0.792
3 48 401 0.695
4 1 493 0.759
4 2 395 0.741
4 3 373 0.757
4 4 354 0.798
4 5 333 0.844
4 6 260 0.781
4 7 278 0.839
4 8 255 0.858
4 9 280 0.818
4 10 308 0.712
4 11 286 0.57
4 12 238 0.826
4 13 228 0.708
4 14 230 0.837
4 15 215 0.889
4 16 223 0.761
4 17 202 0.781
4 18 217 0.79
4 19 196 0.804
4 20 216 0.832
4 21 222 0.855
4 22 213 0.781
4 23 208 0.871
4 24 200 0.827
4 25 197 0.906
4 26 203 0.933
4 27 199 0.816
4 28 208 0.702
4 29 192 0.787
4 30 217 0.829
4 31 29 -1.0
4 32 27 0.73
4 33 203 0.775
4 34 192 0.855
4 35 158 0.713
4 36 190 0.691
4 37 151 0.768
4 38 127 0.903
4 39 175 0.783
4 40 183 0.901
4 41 179 0.89
4 42 194 0.735
4 43 178 0.885
4 44 186 0.803
4 45 192 0.812
4 46 225 0.867
4 47 260 0.875
4 48 452 0.878
5 1 481 0.677
5 2 411 0.898
5 3 309 0.815
5 4 334 0.795
5 5 305 0.86
5 6 260 0.654
5 7 212 0.885
5 8 212 0.834
5 9 262 0.638
5 10 243 0.717
5 11 253 0.885
5 12 197 0.731
5 13 221 0.862
5 14 221 0.699
5 15 201 0.839
5 16 161 0.628
5 17 203 0.775
5 18 186 0.829
5 19 214 0.742
5 20 197 0.878
5 21 183 0.808
5 22 178 0.818
5 23 146 0.921
5 24 174 0.818
5 25 133 0.655
5 26 211 0.873
5 27 163 0.849
5 28 161 0.774
5 29 157 0.898
5 30 177 0.824
5 31 174 0.72
5 32 207 0.838
5 33 161 0.689
5 34 145 0.915
5 35 189 0.799
5 36 164 0.854
5 37 180 0.838
5 38 167 0.814
5 39 168 0.827
5 40 190 0.839
5 41 155 0.816
5 42 165 0.745
5 43 176 0.875
5 44 193 0.826
5 45 234 0.876
5 46 243 0.906
5 47 300 0.797
5 48 319 0.877
6 1 517 0.67
6 2 395 0.795
6 3 366 0.675
6 4 335 0.81
6 5 65 0.767
6 6 58 0.821
6 7 229 0.801
6 8 231 0.857
6 9 26 0.932
6 10 20 0.994
6 11 231 0.847
6 12 194 0.772
6 13 219 0.663
6 14 195 0.842
6 15 162 0.762
6 16 169 0.832
6 17 184 0.697
6 18 168 0.884
6 19 172 0.791
6 20 181 0.792
6 21 168 0.855
6 22 174 0.877
6 23 162 0.836
6 24 174 0.81
6 25 175 0.682
6 26 178 0.864
6 27 146 0.848
6 28 158 0.785
6 29 164 0.807
6 30 161 0.859
6 31 176 0.76
6 32 185 0.898
6 33 50 0.903
6 34 42 -1.0
6 35 141 0.858
6 36 150 0.809
6 37 24 -1.0
6 38 24 0.941
6 39 175 0.882
6 40 188 0.884
6 41 122 0.857
6 42 140 0.793
6 43 154 0.734
6 44 183 0.869
6 45 27 0.967
6 46 19 -1.0
6 47 304 0.789
6 48 337 0.84
7 1 453 0.61
7 2 377 0.794
7 3 307 0.731
7 4 317 0.831
7 5 229 0.758
7 6 240 0.604
7 7 223 0.717
7 8 265 0.788
7 9 200 0.864
7 10 211 0.699
7 11 207 0.704
7 12 206 0.906
7 13 236 0.902
7 14 203 0.798
7 15 199 0.799
7 16 191 0.862
7 17 186 0.875
7 18 173 0.832
7 19 173 0.771
7 20 152 0.803
7 21 156 0.925
7 22 148 0.9
7 23 188 0.892
7 24 184 0.857
7 25 125 0.814
7 26 147 0.881
