row  column  size-1  circ-1
1 1 595 0.548
1 2 573 0.752
1 3 491 0.844
1 4 519 0.781
1 5 531 0.737
1 6 516 0.811
1 7 499 0.841
1 8 484 0.837
1 9 412 0.623
1 10 457 0.819
1 11 424 0.861
1 12 474 0.828
1 13 291 0.755
1 14 386 0.784
1 15 418 0.867
1 16 414 0.877
1 17 198 0.902
1 18 323 0.733
1 19 415 0.774
1 20 397 0.892
1 21 374 0.835
1 22 372 0.767
1 23 326 0.846
1 24 390 0.804
1 25 380 0.91
1 26 362 0.84
1 27 368 0.817
1 28 326 0.758
1 29 345 0.923
1 30 327 0.789
1 31 351 0.843
1 32 373 0.846
1 33 368 0.804
1 34 421 0.837
1 35 76 0.911
1 36 68 0.962
1 37 346 0.885
1 38 371 0.742
1 39 322 0.754
1 40 324 0.849
1 41 414 0.823
1 42 375 0.884
1 43 440 0.85
1 44 433 0.798
1 45 436 0.872
1 46 442 0.686
1 47 517 0.647
1 48 578 0.749
2 1 438 0.812
2 2 468 0.708
2 3 418 0.701
2 4 397 0.806
2 5 362 0.861
2 6 383 0.778
2 7 337 0.868
2 8 333 0.824
2 9 304 0.927
2 10 314 0.823
2 11 319 0.908
2 12 313 0.793
2 13 309 0.871
2 14 294 0.837
2 15 311 0.745
2 16 263 0.776
2 17 310 0.738
2 18 275 0.665
2 19 258 0.868
2 20 282 0.714
2 21 264 0.82
2 22 248 0.791
2 23 236 0.714
2 24 269 0.742
2 25 223 0.706
2 26 256 0.699
2 27 214 0.824
2 28 206 0.765
2 29 217 0.768
2 30 228 0.813
2 31 215 0.863
2 32 253 0.772
2 33 211 0.74
2 34 235 0.793
2 35 271 0.772
2 36 306 0.848
2 37 299 0.778
2 38 255 0.792
2 39 278 0.728
2 40 256 0.871
2 41 259 0.881
2 42 257 0.858
2 43 312 0.87
2 44 293 0.768
2 45 290 0.869
2 46 310 0.883
2 47 423 0.551
2 48 516 0.87
3 1 398 0.845
3 2 395 0.826
3 3 338 0.823
3 4 310 0.785
3 5 303 0.827
3 6 286 0.661
3 7 276 0.857
3 8 293 0.781
3 9 171 0.483
3 10 259 0.842
3 11 239 0.669
3 12 266 0.82
3 13 0 0.0
3 14 0 0.0
3 15 257 0.712
3 16 239 0.852
3 17 251 0.78
3 18 219 0.53
3 19 226 0.757
3 20 200 0.617
3 21 220 0.541
3 22 213 0.725
3 23 207 0.655
3 24 212 0.75
3 25 201 0.666
3 26 212 0.778
3 27 222 0.749
3 28 210 0.843
3 29 183 0.414
3 30 190 0.772
3 31 192 0.699
3 32 198 0.568
3 33 222 0.77
3 34 232 0.834
3 35 96 0.512
3 36 79 0.562
3 37 225 0.664
3 38 204 0.607
3 39 204 0.795
3 40 191 0.687
3 41 221 0.827
3 42 220 0.883
3 43 209 0.839
3 44 245 0.79
3 45 245 0.899
3 46 274 0.874
3 47 253 0.792
3 48 356 0.861
4 1 601 0.674
4 2 378 0.813
4 3 341 0.779
4 4 315 0.837
4 5 291 0.829
4 6 256 0.582
4 7 303 0.854
4 8 256 0.671
4 9 241 0.853
4 10 247 0.84
4 11 216 0.779
4 12 271 0.764
4 13 242 0.661
4 14 226 0.784
4 15 174 0.604
4 16 213 0.804
4 17 198 0.714
4 18 189 0.5
4 19 185 0.57
4 20 156 0.695
4 21 162 0.664
4 22 179 0.515
4 23 168 0.455
4 24 189 0.661
4 25 193 0.759
4 26 159 0.741
4 27 155 0.604
4 28 142 0.758
4 29 166 0.739
4 30 184 0.697
4 31 132 0.869
4 32 209 0.612
4 33 171 0.6
4 34 186 0.651
4 35 173 0.716
4 36 190 0.779
4 37 183 0.757
4 38 192 0.781
4 39 140 0.569
4 40 157 0.52
4 41 190 0.839
4 42 167 0.62
4 43 193 0.887
4 44 199 0.867
4 45 210 0.843
4 46 211 0.865
4 47 259 0.855
4 48 358 0.754
5 1 487 0.737
5 2 380 0.772
5 3 381 0.708
5 4 305 0.799
5 5 274 0.794
5 6 274 0.815
5 7 278 0.688
5 8 248 0.645
5 9 239 0.631
5 10 197 0.612
5 11 185 0.695
5 12 172 0.536
5 13 201 0.737
5 14 171 0.687
5 15 217 0.533
5 16 160 0.577
5 17 192 0.507
5 18 189 0.507
5 19 216 0.637
5 20 186 0.526
5 21 177 0.532
5 22 152 0.792
5 23 165 0.612
5 24 146 0.639
5 25 160 0.631
5 26 114 0.75
5 27 140 0.586
5 28 140 0.574
5 29 133 0.664
5 30 159 0.585
5 31 167 0.459
5 32 146 0.594
5 33 166 0.525
5 34 155 0.729
5 35 176 0.606
5 36 185 0.782
5 37 139 0.691
5 38 158 0.586
5 39 152 0.629
5 40 165 0.812
5 41 157 0.807
5 42 156 0.853
5 43 238 0.695
5 44 189 0.65
5 45 219 0.851
5 46 210 0.935
5 47 259 0.826
5 48 368 0.822
6 1 603 0.546
6 2 385 0.777
6 3 359 0.599
6 4 316 0.793
6 5 305 0.881
6 6 265 0.588
6 7 278 0.778
6 8 220 0.731
6 9 258 0.572
6 10 241 0.494
6 11 230 0.467
6 12 167 0.368
6 13 178 0.724
6 14 200 0.565
6 15 197 0.534
6 16 195 0.724
6 17 175 0.756
6 18 175 0.597
6 19 128 0.842
6 20 81 0.891
6 21 142 0.692
6 22 150 0.781
6 23 166 0.726
6 24 141 0.858
6 25 140 0.705
6 26 120 0.704
6 27 134 0.538
6 28 140 0.793
6 29 176 0.485
6 30 133 0.742
6 31 157 0.571
6 32 121 0.86
6 33 145 0.556
6 34 137 0.804
6 35 151 0.514
6 36 123 0.809
6 37 161 0.68
6 38 142 0.458
6 39 182 0.587
6 40 165 0.86
6 41 138 0.561
6 42 160 0.752
6 43 221 0.834
6 44 160 0.752
6 45 193 0.871
6 46 257 0.697
6 47 287 0.922
6 48 408 0.761
7 1 469 0.838
7 2 406 0.582
7 3 337 0.696
7 4 290 0.832
7 5 306 0.623
7 6 274 0.827
7 7 240 0.629
7 8 182 0.731
7 9 201 0.684
7 10 212 0.613
7 11 229 0.59
7 12 207 0.546
7 13 162 0.432
7 14 191 0.703
7 15 182 0.409
7 16 178 0.414
7 17 180 0.729
7 18 149 0.776
7 19 183 0.55
7 20 150 0.828
7 21 143 0.54
7 22 135 0.875
7 23 163 0.564
7 24 135 0.728
7 25 173 0.624
7 26 107 0.661
7 27 157 0.652
7 28 146 0.827
7 29 175 0.733
7 30 139 0.507
7 31 152 0.499
7 32 143 0.516
7 33 114 0.858
7 34 154 0.613
7 35 145 0.793
7 36 144 0.561
7 37 132 0.846
7 38 150 0.58
7 39 178 0.724
7 40 166 0.689
7 41 182 0.746
7 42 168 0.663
7 43 152 0.593
7 44 189 0.799
7 45 178 0.694
7 46 263 0.802
7 47 299 0.776
7 48 393 0.84
8 1 524 0.724
