row  column  size-1  circ-1
1 1 463 0.807
1 2 383 0.731
1 3 403 0.79
1 4 372 0.831
1 5 364 0.795
1 6 343 0.811
1 7 331 0.873
1 8 348 0.717
1 9 308 0.799
1 10 322 0.87
1 11 386 0.838
1 12 330 0.785
1 13 309 0.677
1 14 329 0.809
1 15 398 0.808
1 16 298 0.789
1 17 331 0.758
1 18 267 0.852
1 19 229 0.779
1 20 265 0.65
1 21 301 0.864
1 22 315 0.845
1 23 244 0.784
1 24 280 0.803
1 25 294 0.789
1 26 329 0.889
1 27 285 0.854
1 28 322 0.886
1 29 300 0.854
1 30 255 0.868
1 31 33 0.665
1 32 17 -1.0
1 33 326 0.694
1 34 267 0.794
1 35 335 0.723
1 36 311 0.78
1 37 348 0.842
1 38 328 0.865
1 39 344 0.783
1 40 333 0.682
1 41 381 0.701
1 42 386 0.784
1 43 389 0.68
1 44 438 0.543
1 45 457 0.704
1 46 480 0.664
1 47 561 0.558
1 48 609 0.789
2 1 419 0.755
2 2 278 0.842
2 3 253 0.816
2 4 231 0.795
2 5 218 0.771
2 6 223 0.903
2 7 210 0.709
2 8 193 0.841
2 9 197 0.753
2 10 199 0.776
2 11 209 0.798
2 12 231 0.801
2 13 195 0.938
2 14 199 0.841
2 15 221 0.767
2 16 249 0.76
2 17 203 0.733
2 18 224 0.87
2 19 253 0.752
2 20 198 0.855
2 21 222 0.841
2 22 204 0.862
2 23 194 0.856
2 24 217 0.906
2 25 210 0.861
2 26 225 0.774
2 27 187 0.929
2 28 243 0.85
2 29 251 0.801
2 30 241 0.814
2 31 216 0.842
2 32 243 0.867
2 33 223 0.811
2 34 233 0.824
2 35 222 0.866
2 36 238 0.849
2 37 198 0.855
2 38 210 0.78
2 39 242 0.846
2 40 222 0.721
2 41 248 0.706
2 42 264 0.858
2 43 243 0.736
2 44 300 0.773
2 45 355 0.805
2 46 338 0.784
2 47 417 0.661
2 48 540 0.798
3 1 318 0.86
3 2 225 0.796
3 3 229 0.786
3 4 242 0.801
3 5 224 0.825
3 6 175 0.763
3 7 202 0.715
3 8 174 0.785
3 9 149 0.733
3 10 241 0.737
3 11 172 0.759
3 12 166 0.865
3 13 156 0.902
3 14 176 0.895
3 15 173 0.788
3 16 166 0.845
3 17 130 0.879
3 18 128 0.842
3 19 158 0.86
3 20 161 0.8
3 21 184 0.683
3 22 55 0.933
3 23 193 0.871
3 24 171 0.87
3 25 186 0.628
3 26 209 0.891
3 27 0 0.0
3 28 0 0.0
3 29 207 0.791
3 30 201 0.832
3 31 202 0.828
3 32 206 0.918
3 33 167 0.731
3 34 183 0.872
3 35 207 0.824
3 36 192 0.661
3 37 208 0.804
3 38 210 0.695
3 39 215 0.798
3 40 217 0.846
3 41 190 0.813
3 42 224 0.783
3 43 236 0.72
3 44 254 0.769
3 45 250 0.763
3 46 294 0.644
3 47 344 0.783
3 48 425 0.763
4 1 367 0.78
4 2 265 0.808
4 3 214 0.878
4 4 230 0.827
4 5 0 0.0
4 6 115 0.841
4 7 192 0.903
4 8 171 0.796
4 9 151 0.761
4 10 168 0.726
4 11 156 0.892
4 12 169 0.889
4 13 121 0.695
4 14 159 0.801
4 15 157 0.678
4 16 141 0.84
4 17 172 0.827
4 18 147 0.748
4 19 172 0.827
4 20 166 0.95
4 21 154 0.822
4 22 154 0.903
4 23 134 0.836
4 24 152 0.869
4 25 158 0.852
4 26 154 0.784
4 27 132 0.878
4 28 149 0.94
4 29 182 0.875
4 30 195 0.835
4 31 0 0.0
4 32 0 0.0
4 33 184 0.781
4 34 160 0.871
4 35 193 0.841
4 36 191 0.8
4 37 0 0.0
4 38 0 0.0
4 39 196 0.821
4 40 217 0.829
4 41 173 0.843
4 42 191 0.8
4 43 222 0.785
4 44 258 0.802
4 45 229 0.664
4 46 225 0.72
4 47 317 0.814
4 48 523 0.698
5 1 298 0.721
5 2 266 0.658
5 3 238 0.803
5 4 218 0.857
5 5 170 0.837
5 6 150 0.88
5 7 139 0.891
5 8 185 0.89
5 9 145 0.821
5 10 160 0.834
5 11 142 0.886
5 12 141 0.88
5 13 114 0.843
5 14 141 0.88
5 15 139 0.76
5 16 123 0.841
5 17 124 0.882
5 18 148 0.868
5 19 162 0.864
5 20 156 0.786
5 21 137 0.784
5 22 131 0.83
5 23 166 0.756
5 24 152 0.84
5 25 128 0.91
5 26 144 0.709
5 27 143 0.87
5 28 141 0.779
5 29 143 0.848
5 30 152 0.848
5 31 169 0.851
5 32 177 0.799
5 33 132 0.878
5 34 157 0.889
5 35 157 0.907
5 36 170 0.865
5 37 174 0.856
5 38 184 0.857
5 39 117 0.917
5 40 153 0.845
5 41 177 0.814
5 42 158 0.831
5 43 218 0.756
5 44 207 0.781
5 45 246 0.701
5 46 326 0.799
5 47 370 0.763
5 48 516 0.601
6 1 373 0.722
6 2 212 0.81
6 3 218 0.736
6 4 208 0.757
6 5 179 0.79
6 6 162 0.927
6 7 161 0.767
6 8 143 0.916
6 9 116 0.848
6 10 139 0.891
6 11 136 0.862
6 12 147 0.862
6 13 128 0.69
6 14 128 0.91
6 15 122 0.918
6 16 136 0.915
6 17 145 0.929
6 18 129 0.907
6 19 127 0.814
6 20 145 0.782
6 21 139 0.877
6 22 141 0.949
6 23 0 0.0
6 24 0 0.0
6 25 126 0.786
6 26 144 0.958
6 27 144 0.899
6 28 137 0.888
6 29 120 0.867
6 30 139 0.858
6 31 132 0.846
6 32 136 0.798
6 33 147 0.918
6 34 153 0.845
6 35 114 0.801
6 36 141 0.858
6 37 167 0.796
6 38 183 0.909
