row  column  size-1  circ-1
1 1 652 0.715
1 2 581 0.76
1 3 453 0.564
1 4 717 0.891
1 5 544 0.817
1 6 301 0.848
1 7 419 0.788
1 8 448 0.876
1 9 385 0.83
1 10 334 0.8
1 11 653 0.813
1 12 405 0.789
1 13 383 0.883
1 14 334 0.832
1 15 392 0.828
1 16 207 0.831
1 17 264 0.752
1 18 424 0.819
1 19 187 0.767
1 20 260 0.72
1 21 350 0.777
1 22 336 0.774
1 23 350 0.825
1 24 264 0.779
1 25 424 0.848
1 26 355 0.85
1 27 269 0.806
1 28 418 0.886
1 29 426 0.742
1 30 350 0.814
1 31 337 0.767
1 32 394 0.861
1 33 317 0.822
1 34 419 0.846
1 35 364 0.689
1 36 385 0.905
1 37 348 0.733
1 38 393 0.681
1 39 394 0.712
1 40 434 0.793
1 41 260 0.829
1 42 264 0.814
1 43 535 0.652
1 44 451 0.665
1 45 493 0.42
1 46 582 0.603
1 47 690 0.607
1 48 710 0.77
2 1 470 0.739
2 2 345 0.662
2 3 409 0.739
2 4 389 0.78
2 5 513 0.654
2 6 256 0.767
2 7 493 0.82
2 8 404 0.739
2 9 268 0.714
2 10 277 0.883
2 11 401 0.821
2 12 401 0.781
2 13 290 0.832
2 14 296 0.864
2 15 364 0.892
2 16 347 0.871
2 17 370 0.686
2 18 354 0.834
2 19 345 0.813
2 20 383 0.894
2 21 288 0.847
2 22 300 0.833
2 23 373 0.879
2 24 283 0.863
2 25 264 0.779
2 26 263 0.92
2 27 296 0.814
2 28 417 0.773
2 29 256 0.861
2 30 382 0.848
2 31 269 0.874
2 32 309 0.829
2 33 283 0.734
2 34 311 0.841
2 35 395 0.819
2 36 366 0.679
2 37 282 0.757
2 38 305 0.845
2 39 296 0.8
2 40 359 0.784
2 41 341 0.891
2 42 341 0.74
2 43 457 0.7
2 44 528 0.515
2 45 432 0.547
2 46 459 0.45
2 47 592 0.491
2 48 716 0.904
3 1 521 0.764
3 2 412 0.678
3 3 425 0.804
3 4 365 0.645
3 5 317 0.772
3 6 392 0.737
3 7 387 0.833
3 8 376 0.84
3 9 321 0.752
3 10 334 0.65
3 11 256 0.81
3 12 319 0.828
3 13 328 0.837
3 14 296 0.887
3 15 118 0.703
3 16 117 0.856
3 17 296 0.776
3 18 270 0.839
3 19 276 0.827
3 20 314 0.834
3 21 209 0.883
3 22 305 0.726
3 23 218 0.771
3 24 422 0.712
