row  column  size-1  circ-1
1 1 732 0.88
1 2 654 0.699
1 3 437 0.57
1 4 590 0.735
1 5 551 0.812
1 6 412 0.7
1 7 497 0.805
1 8 442 0.737
1 9 476 0.834
1 10 452 0.709
1 11 428 0.771
1 12 390 0.877
1 13 381 0.878
1 14 409 0.83
1 15 343 0.869
1 16 294 0.852
1 17 643 0.842
1 18 437 0.856
1 19 411 0.741
1 20 543 0.788
1 21 378 0.808
1 22 381 0.725
1 23 475 0.851
1 24 319 0.862
1 25 423 0.717
1 26 459 0.816
1 27 410 0.815
1 28 413 0.894
1 29 416 0.803
1 30 421 0.813
1 31 445 0.791
1 32 445 0.722
1 33 381 0.82
1 34 376 0.797
1 35 401 0.809
1 36 364 0.844
1 37 347 0.871
1 38 410 0.739
1 39 460 0.755
1 40 490 0.574
1 41 228 0.661
1 42 238 0.63
1 43 601 0.834
1 44 605 0.611
1 45 503 0.547
1 46 503 0.229
1 47 637 0.688
1 48 718 0.787
2 1 585 0.749
2 2 444 0.682
2 3 429 0.817
2 4 438 0.846
2 5 425 0.668
2 6 329 0.684
2 7 375 0.819
2 8 273 0.827
2 9 247 0.767
2 10 226 0.889
2 11 292 0.846
2 12 350 0.765
2 13 300 0.709
2 14 272 0.8
2 15 346 0.842
2 16 335 0.68
2 17 339 0.725
2 18 262 0.892
2 19 272 0.884
2 20 308 0.899
2 21 282 0.924
2 22 308 0.847
2 23 322 0.85
2 24 269 0.8
2 25 240 0.898
2 26 273 0.848
2 27 296 0.814
2 28 273 0.894
2 29 244 0.913
2 30 276 0.806
2 31 251 0.78
2 32 287 0.838
2 33 313 0.775
2 34 306 0.763
2 35 327 0.754
2 36 340 0.847
2 37 377 0.842
2 38 379 0.754
2 39 389 0.807
2 40 414 0.795
2 41 434 0.619
2 42 434 0.782
2 43 406 0.599
2 44 381 0.778
2 45 493 0.53
2 46 532 0.472
2 47 571 0.662
2 48 631 0.846
3 1 599 0.784
3 2 393 0.739
3 3 367 0.739
3 4 347 0.818
3 5 300 0.778
3 6 319 0.688
3 7 322 0.688
3 8 305 0.805
3 9 291 0.85
3 10 280 0.839
3 11 334 0.705
3 12 318 0.875
3 13 312 0.886
3 14 345 0.783
3 15 106 0.831
3 16 96 0.722
3 17 253 0.838
3 18 262 0.829
3 19 263 0.782
3 20 229 0.801
3 21 190 0.893
3 22 250 0.835
3 23 228 0.853
3 24 277 0.877
3 25 240 0.696
3 26 272 0.891
3 27 269 0.814
3 28 222 0.891
3 29 220 0.817
3 30 260 0.779
3 31 248 0.902
3 32 266 0.842
3 33 214 0.827
3 34 269 0.786
3 35 242 0.924
3 36 263 0.788
3 37 340 0.815
3 38 301 0.864
3 39 318 0.86
3 40 314 0.901
3 41 359 0.82
3 42 323 0.844
3 43 360 0.705
3 44 340 0.766
3 45 376 0.614
3 46 392 0.689
3 47 413 0.667
3 48 568 0.864
4 1 635 0.704
4 2 401 0.66
4 3 324 0.776
4 4 293 0.755
4 5 326 0.866
4 6 291 0.852
4 7 286 0.857
4 8 255 0.868
4 9 267 0.806
4 10 267 0.788
4 11 304 0.778
4 12 271 0.745
4 13 110 0.669
4 14 243 0.884
4 15 264 0.881
4 16 209 0.782
4 17 190 0.865
4 18 151 0.877
4 19 201 0.895
4 20 204 0.786
4 21 202 0.95
4 22 205 0.833
4 23 162 0.844
4 24 214 0.834
4 25 200 0.872
4 26 220 0.883
4 27 189 0.869
4 28 190 0.85
4 29 209 0.839
4 30 193 0.737
4 31 247 0.734
4 32 250 0.828
4 33 213 0.908
4 34 256 0.913
4 35 207 0.894
4 36 299 0.837
4 37 308 0.799
4 38 312 0.817
4 39 334 0.875
4 40 311 0.883
4 41 336 0.878
4 42 292 0.914
4 43 311 0.717
4 44 341 0.762
4 45 318 0.833
4 46 363 0.87
4 47 251 0.71
4 48 484 0.689
5 1 516 0.567
5 2 460 0.881
5 3 334 0.525
5 4 320 0.808
5 5 307 0.818
5 6 272 0.809
5 7 269 0.734
5 8 258 0.823
5 9 260 0.793
5 10 246 0.821
5 11 252 0.899
5 12 258 0.759
5 13 242 0.707
5 14 214 0.87
5 15 208 0.772
5 16 168 0.863
5 17 215 0.767
5 18 183 0.86
5 19 198 0.931
5 20 196 0.854
5 21 185 0.809
5 22 183 0.815
5 23 204 0.87
5 24 153 0.703
5 25 178 0.864
5 26 158 0.852
5 27 181 0.871
5 28 188 0.837
5 29 175 0.861
5 30 186 0.855
5 31 183 0.826
5 32 193 0.834
5 33 176 0.875
5 34 225 0.825
5 35 155 0.773
5 36 210 0.836
5 37 308 0.799
5 38 249 0.825
5 39 306 0.733
5 40 286 0.809
5 41 189 0.909
5 42 208 0.871
5 43 301 0.712
5 44 335 0.884
5 45 357 0.842
5 46 298 0.849
5 47 384 0.785
5 48 584 0.797
6 1 501 0.856
6 2 418 0.673
6 3 314 0.527
6 4 288 0.841
6 5 299 0.873
6 6 263 0.861
6 7 277 0.781
6 8 290 0.812
6 9 198 0.855
6 10 240 0.801
6 11 233 0.831
6 12 216 0.867
6 13 182 0.859
6 14 191 0.8
6 15 177 0.901
6 16 209 0.903
6 17 188 0.83
6 18 196 0.865
6 19 217 0.822
6 20 208 0.879
6 21 205 0.761
6 22 195 0.888
6 23 202 0.861
6 24 227 0.772
6 25 193 0.899
6 26 182 0.905
6 27 176 0.875
6 28 191 0.89
6 29 181 0.84
6 30 200 0.891
6 31 202 0.88
6 32 188 0.856
6 33 204 0.959
6 34 203 0.769
6 35 198 0.882
6 36 213 0.775
6 37 191 0.76
6 38 231 0.801
6 39 255 0.845
6 40 216 0.842
6 41 259 0.813
6 42 268 0.895
6 43 259 0.826
6 44 282 0.838
6 45 344 0.921
6 46 406 0.784
6 47 495 0.73
6 48 558 0.743
7 1 460 0.687
7 2 378 0.501
7 3 340 0.716
7 4 324 0.759
7 5 281 0.873
7 6 240 0.768
7 7 241 0.884
7 8 221 0.862
7 9 248 0.719
7 10 236 0.859
7 11 165 0.794
7 12 173 0.852
7 13 175 0.842
7 14 168 0.835
7 15 198 0.863
7 16 204 0.862
7 17 191 0.898
7 18 192 0.883
7 19 213 0.845
7 20 210 0.888
7 21 189 0.842
7 22 216 0.815
7 23 224 0.799
7 24 179 0.75
7 25 195 0.869
7 26 163 0.689
7 27 148 0.891
7 28 204 0.862
7 29 198 0.756
7 30 145 0.738
7 31 171 0.842
7 32 159 0.857
7 33 209 0.857
7 34 185 0.941
7 35 112 0.915
7 36 180 0.82
7 37 148 0.855
7 38 177 0.688
7 39 246 0.877
7 40 163 0.813
7 41 217 0.846
7 42 203 0.825
7 43 233 0.766
7 44 259 0.799
7 45 277 0.809
7 46 379 0.464
7 47 470 0.616
7 48 584 0.768
8 1 550 0.542
8 2 390 0.576
8 3 278 0.812
8 4 279 0.86
8 5 296 0.8
8 6 276 0.784
8 7 281 0.873
8 8 229 0.693
8 9 236 0.819
8 10 180 0.777
8 11 172 0.896
8 12 192 0.903
8 13 221 0.718
8 14 201 0.904
8 15 191 0.825
8 16 202 0.759
8 17 194 0.838
8 18 208 0.871
8 19 191 0.898
8 20 185 0.824
8 21 252 0.841
8 22 206 0.871
8 23 160 0.854
8 24 204 0.862
8 25 188 0.812
8 26 215 0.856
8 27 231 0.908
8 28 205 0.734
8 29 205 0.841
8 30 210 0.869
8 31 200 0.872
8 32 213 0.814
8 33 193 0.879
8 34 165 0.786
8 35 155 0.919
8 36 190 0.865
8 37 196 0.771
8 38 255 0.861
8 39 200 0.736
8 40 190 0.828
8 41 209 0.748
8 42 224 0.831
8 43 238 0.759
8 44 300 0.714
8 45 291 0.835
8 46 320 0.761
8 47 413 0.698
8 48 526 0.752
9 1 385 0.72
9 2 386 0.857
9 3 324 0.789
9 4 316 0.82
9 5 277 0.609
9 6 270 0.877
9 7 238 0.759
9 8 231 0.771
9 9 204 0.881
9 10 174 0.829
9 11 205 0.893
9 12 168 0.884
9 13 190 0.893
9 14 237 0.836
9 15 196 0.862
9 16 185 0.799
9 17 181 0.768
9 18 180 0.866
9 19 206 0.803
9 20 222 0.873
9 21 201 0.876
9 22 179 0.89
9 23 103 0.894
9 24 103 0.696
9 25 201 0.832
9 26 193 0.887
9 27 12 0.851
9 28 18 0.965
9 29 203 0.858
9 30 203 0.833
9 31 207 0.824
9 32 209 0.876
9 33 188 0.904
9 34 174 0.898
9 35 198 0.829
9 36 182 0.896
9 37 186 0.786
9 38 184 0.885
9 39 171 0.862
9 40 174 0.829
9 41 186 0.839
9 42 211 0.799
9 43 259 0.712
9 44 267 0.916
9 45 234 0.787
9 46 245 0.742
9 47 408 0.675
