row  column  size-1  circ-1
1 1 550 0.711
1 2 511 0.755
1 3 446 0.784
1 4 448 0.755
1 5 408 0.859
1 6 371 0.716
1 7 384 0.787
1 8 418 0.899
1 9 364 0.833
1 10 345 0.826
1 11 358 0.858
1 12 302 0.882
1 13 306 0.821
1 14 374 0.812
1 15 345 0.84
1 16 283 0.91
1 17 378 0.863
1 18 300 0.784
1 19 248 0.844
1 20 267 0.823
1 21 342 0.852
1 22 359 0.88
1 23 258 0.868
1 24 330 0.892
1 25 324 0.855
1 26 337 0.874
1 27 344 0.656
1 28 358 0.838
1 29 341 0.9
1 30 251 0.845
1 31 34 0.81
1 32 34 0.614
1 33 300 0.867
1 34 255 0.835
1 35 329 0.82
1 36 311 0.868
1 37 373 0.914
1 38 309 0.815
1 39 327 0.857
1 40 350 0.825
1 41 413 0.875
1 42 456 0.886
1 43 424 0.861
1 44 428 0.803
1 45 450 0.725
1 46 474 0.864
1 47 553 0.705
1 48 627 0.826
2 1 522 0.703
2 2 292 0.832
2 3 368 0.799
2 4 295 0.725
2 5 257 0.875
2 6 237 0.905
2 7 234 0.828
2 8 241 0.86
2 9 239 0.887
2 10 240 0.817
2 11 256 0.823
2 12 252 0.906
2 13 249 0.847
2 14 231 0.882
2 15 262 0.875
2 16 308 0.745
2 17 215 0.767
2 18 238 0.849
2 19 266 0.833
2 20 221 0.827
2 21 225 0.867
2 22 224 0.802
2 23 215 0.901
2 24 214 0.852
2 25 209 0.865
2 26 250 0.867
2 27 204 0.862
2 28 310 0.874
2 29 261 0.888
2 30 253 0.885
2 31 250 0.858
2 32 244 0.91
2 33 255 0.838
2 34 258 0.817
2 35 227 0.893
2 36 236 0.876
2 37 213 0.848
2 38 246 0.902
2 39 272 0.794
2 40 251 0.885
2 41 260 0.802
2 42 291 0.82
2 43 249 0.831
2 44 249 0.816
2 45 271 0.806
2 46 326 0.881
2 47 366 0.795
2 48 510 0.837
3 1 417 0.749
3 2 340 0.653
3 3 314 0.651
3 4 281 0.88
3 5 271 0.871
3 6 166 0.845
3 7 206 0.89
3 8 216 0.818
3 9 157 0.876
3 10 204 0.855
3 11 194 0.912
3 12 190 0.885
3 13 188 0.845
3 14 195 0.817
3 15 196 0.797
3 16 201 0.8
3 17 137 0.888
3 18 131 0.839
3 19 187 0.908
3 20 185 0.89
3 21 166 0.845
3 22 80 0.868
3 23 186 0.875
3 24 178 0.829
3 25 189 0.909
3 26 199 0.886
3 27 10 -1.0
3 28 10 -1.0
3 29 208 0.871
3 30 185 0.862
3 31 174 0.856
3 32 188 0.805
3 33 185 0.799
3 34 181 0.9
3 35 209 0.919
3 36 196 0.893
3 37 210 0.888
3 38 254 0.781
3 39 242 0.808
3 40 280 0.485
3 41 218 0.621
3 42 189 0.861
3 43 213 0.76
3 44 204 0.802
3 45 247 0.888
3 46 279 0.858
3 47 275 0.824
3 48 463 0.775
4 1 441 0.706
4 2 336 0.628
4 3 304 0.77
4 4 306 0.863
4 5 0 0.0
4 6 179 0.834
4 7 241 0.877
4 8 208 0.898
4 9 184 0.885
4 10 187 0.833
4 11 188 0.884
4 12 186 0.847
4 13 182 0.905
4 14 181 0.921
4 15 165 0.831
4 16 171 0.913
4 17 217 0.829
4 18 173 0.932
4 19 194 0.838
4 20 159 0.801
4 21 156 0.832
4 22 178 0.876
4 23 167 0.9
4 24 162 0.816
4 25 160 0.814
4 26 161 0.889
4 27 144 0.845
4 28 110 0.852
4 29 170 0.894
4 30 191 0.878
4 31 0 0.0
4 32 0 0.0
4 33 193 0.879
4 34 161 0.954
4 35 190 0.828
4 36 173 0.901
4 37 0 0.0
4 38 0 0.0
4 39 207 0.747
4 40 212 0.844
4 41 200 0.437
4 42 234 0.628
4 43 209 0.798
4 44 220 0.8
4 45 192 0.874
4 46 157 0.731
4 47 289 0.829
4 48 478 0.795
5 1 370 0.68
5 2 326 0.763
5 3 308 0.807
5 4 288 0.8
5 5 212 0.877
5 6 194 0.82
5 7 189 0.861
5 8 192 0.903
5 9 162 0.864
5 10 141 0.949
5 11 163 0.821
5 12 147 0.885
5 13 136 0.93
5 14 168 0.835
5 15 138 0.918
5 16 148 0.868
5 17 172 0.855
5 18 193 0.852
5 19 193 0.907
5 20 164 0.906
5 21 153 0.854
5 22 163 0.849
5 23 162 0.895
5 24 146 0.888
5 25 137 0.816
5 26 152 0.869
5 27 150 0.849
5 28 140 0.842
5 29 161 0.859
5 30 163 0.858
5 31 183 0.841
5 32 194 0.813
5 33 144 0.836
5 34 146 0.79
5 35 147 0.862
5 36 163 0.91
5 37 179 0.815
5 38 175 0.834
5 39 128 0.82
5 40 119 0.895
5 41 156 0.711
5 42 171 0.85
5 43 244 0.83
5 44 226 0.853
5 45 214 0.801
5 46 237 0.887
5 47 307 0.844
5 48 479 0.846
6 1 391 0.659
6 2 253 0.831
6 3 286 0.872
6 4 253 0.798
6 5 237 0.869
6 6 181 0.824
6 7 173 0.88
6 8 165 0.868
6 9 123 0.936
6 10 166 0.763
6 11 163 0.759
6 12 139 0.915
6 13 143 0.818
6 14 139 0.815
6 15 167 0.87
6 16 161 0.704
6 17 161 0.839
6 18 147 0.871
6 19 149 0.844
6 20 170 0.857
6 21 160 0.788
6 22 168 0.875
6 23 33 0.486
6 24 11 0.431
6 25 152 0.879
6 26 156 0.862
6 27 148 0.9
6 28 148 0.9
6 29 104 0.865
6 30 149 0.874
6 31 140 0.874
6 32 170 0.894
6 33 153 0.854
6 34 141 0.827
6 35 106 0.92
6 36 119 0.87
6 37 161 0.898
6 38 148 0.868
6 39 136 0.905
6 40 150 0.889
6 41 154 0.881
6 42 164 0.906
6 43 104 0.782
6 44 170 0.865
6 45 105 0.884
6 46 108 0.65
6 47 334 0.887
6 48 100 0.807
7 1 410 0.621
7 2 264 0.827
7 3 315 0.78
7 4 212 0.866
7 5 174 0.792
7 6 182 0.896
7 7 157 0.898
7 8 164 0.826
7 9 161 0.877
7 10 170 0.792
7 11 156 0.892
7 12 157 0.885
7 13 166 0.856
7 14 181 0.9
7 15 154 0.863
7 16 145 0.842
7 17 138 0.894
7 18 156 0.906
7 19 148 0.855
7 20 131 0.906
7 21 166 0.763
7 22 152 0.819
7 23 147 0.894
