row  column  size-1  circ-1
1 1 359 0.874
1 2 253 0.885
1 3 121 0.72
1 4 259 0.842
1 5 263 0.749
1 6 246 0.806
1 7 290 0.832
1 8 261 0.757
1 9 249 0.871
1 10 220 0.817
1 11 343 0.869
1 12 359 0.731
1 13 431 0.857
1 14 428 0.846
1 15 252 0.867
1 16 208 0.906
1 17 239 0.829
1 18 286 0.919
1 19 246 0.837
1 20 322 0.784
1 21 315 0.817
1 22 405 0.885
1 23 253 0.885
1 24 330 0.819
1 25 331 0.873
1 26 364 0.839
1 27 280 0.854
1 28 336 0.818
1 29 253 0.861
1 30 302 0.791
1 31 292 0.832
1 32 291 0.872
1 33 281 0.851
1 34 273 0.833
1 35 223 0.923
1 36 320 0.761
1 37 268 0.839
1 38 335 0.855
1 39 300 0.825
1 40 276 0.772
1 41 199 0.886
1 42 200 0.864
1 43 279 0.873
1 44 324 0.882
1 45 250 0.777
1 46 241 0.829
1 47 374 0.862
1 48 415 0.818
2 1 275 0.877
2 2 167 0.788
2 3 229 0.901
2 4 210 0.888
2 5 238 0.909
2 6 196 0.873
2 7 214 0.904
2 8 238 0.873
2 9 189 0.799
2 10 213 0.831
2 11 185 0.817
2 12 341 0.788
2 13 351 0.779
2 14 334 0.821
2 15 264 0.898
2 16 287 0.797
2 17 371 0.849
2 18 328 0.865
2 19 375 0.878
2 20 303 0.794
2 21 283 0.857
2 22 239 0.823
2 23 309 0.865
2 24 338 0.799
2 25 282 0.803
2 26 280 0.841
2 27 291 0.814
2 28 336 0.826
2 29 221 0.887
2 30 269 0.794
2 31 269 0.794
2 32 297 0.817
2 33 306 0.707
2 34 283 0.879
2 35 298 0.786
2 36 289 0.781
2 37 309 0.796
2 38 310 0.838
2 39 293 0.725
2 40 289 0.838
2 41 296 0.849
2 42 345 0.868
2 43 274 0.881
2 44 161 0.808
2 45 294 0.823
2 46 283 0.765
2 47 332 0.765
2 48 306 0.781
3 1 240 0.676
3 2 205 0.639
3 3 202 0.804
3 4 183 0.86
3 5 177 0.799
3 6 206 0.871
3 7 206 0.89
3 8 239 0.829
3 9 323 0.873
3 10 300 0.892
3 11 321 0.847
3 12 352 0.843
3 13 270 0.817
3 14 405 0.732
3 15 112 0.778
3 16 127 0.784
3 17 287 0.86
3 18 338 0.792
3 19 338 0.804
3 20 316 0.907
3 21 279 0.762
3 22 246 0.902
3 23 348 0.724
3 24 310 0.84
3 25 329 0.732
3 26 286 0.905
3 27 304 0.888
3 28 335 0.857
3 29 325 0.837
3 30 303 0.781
3 31 274 0.725
3 32 337 0.765
3 33 291 0.844
3 34 199 0.878
3 35 308 0.847
3 36 300 0.84
3 37 280 0.861
3 38 327 0.817
3 39 287 0.866
3 40 310 0.785
3 41 309 0.856
3 42 285 0.818
3 43 309 0.865
3 44 276 0.871
3 45 236 0.866
3 46 285 0.798
3 47 269 0.858
3 48 221 0.877
4 1 279 0.83
4 2 223 0.733
4 3 198 0.765
4 4 200 0.813
4 5 219 0.698
4 6 197 0.762
