row  column  size-1  circ-1
1 1 585 0.869
1 2 386 0.895
1 3 431 0.881
1 4 365 0.874
1 5 369 0.884
1 6 421 0.886
1 7 411 0.865
1 8 347 0.845
1 9 406 0.829
1 10 416 0.815
1 11 379 0.879
1 12 314 0.823
1 13 360 0.903
1 14 422 0.902
1 15 345 0.785
1 16 365 0.901
1 17 316 0.93
1 18 355 0.885
1 19 371 0.903
1 20 412 0.819
1 21 313 0.764
1 22 399 0.877
1 23 309 0.815
1 24 378 0.871
1 25 350 0.878
1 26 398 0.845
1 27 412 0.867
1 28 353 0.766
1 29 337 0.848
1 30 408 0.864
1 31 404 0.706
1 32 423 0.864
1 33 437 0.844
1 34 424 0.856
1 35 427 0.825
1 36 447 0.817
1 37 383 0.831
1 38 486 0.864
1 39 477 0.725
1 40 449 0.832
1 41 447 0.801
1 42 468 0.844
1 43 426 0.705
1 44 552 0.776
1 45 629 0.837
1 46 661 0.804
1 47 0 0.0
1 48 634 0.722
2 1 397 0.881
2 2 348 0.842
2 3 298 0.886
2 4 279 0.88
2 5 281 0.873
2 6 314 0.885
2 7 277 0.839
2 8 277 0.897
2 9 233 0.831
2 10 242 0.88
2 11 207 0.842
2 12 251 0.861
2 13 298 0.855
2 14 190 0.839
2 15 250 0.867
2 16 268 0.855
2 17 282 0.824
2 18 253 0.816
2 19 241 0.836
2 20 247 0.773
2 21 251 0.822
2 22 256 0.861
2 23 268 0.803
2 24 237 0.845
2 25 223 0.859
2 26 280 0.854
2 27 223 0.811
2 28 281 0.889
2 29 264 0.842
2 30 268 0.839
2 31 211 0.84
2 32 234 0.858
2 33 278 0.854
2 34 234 0.842
2 35 281 0.857
2 36 299 0.919
2 37 267 0.884
2 38 279 0.897
2 39 314 0.742
2 40 322 0.771
2 41 289 0.888
2 42 324 0.849
2 43 300 0.825
2 44 334 0.787
2 45 337 0.846
2 46 492 0.744
2 47 548 0.892
2 48 644 0.862
3 1 356 0.71
3 2 300 0.737
3 3 277 0.824
3 4 237 0.692
3 5 170 0.81
3 6 213 0.866
3 7 219 0.906
3 8 163 0.81
3 9 150 0.809
3 10 194 0.933
3 11 184 0.873
3 12 231 0.801
3 13 175 0.842
3 14 171 0.772
3 15 209 0.899
3 16 178 0.885
3 17 241 0.884
3 18 148 0.891
3 19 209 0.847
3 20 150 0.936
3 21 223 0.835
3 22 226 0.763
3 23 139 0.787
3 24 205 0.74
3 25 217 0.853
3 26 194 0.803
3 27 215 0.863
3 28 156 0.925
3 29 218 0.809
3 30 149 0.844
3 31 122 0.556
3 32 99 0.898
3 33 234 0.876
3 34 243 0.805
3 35 212 0.81
3 36 249 0.847
3 37 233 0.772
3 38 222 0.848
3 39 238 0.788
3 40 258 0.808
3 41 268 0.885
3 42 284 0.873
3 43 277 0.867
3 44 335 0.89
3 45 367 0.802
3 46 341 0.697
3 47 408 0.834
3 48 566 0.83
4 1 374 0.848
4 2 287 0.896
4 3 230 0.886
4 4 250 0.892
4 5 178 0.906
4 6 198 0.902
4 7 230 0.897
4 8 238 0.909
4 9 168 0.906
4 10 197 0.791
4 11 179 0.89
4 12 188 0.934
4 13 223 0.828
4 14 205 0.885
4 15 186 0.818
4 16 180 0.886
4 17 214 0.827
4 18 213 0.874
4 19 200 0.872
4 20 190 0.882
4 21 155 0.856
4 22 184 0.82
4 23 181 0.862
4 24 221 0.834
4 25 205 0.866
4 26 181 0.871
4 27 233 0.793
4 28 247 0.825
4 29 183 0.909
4 30 214 0.885
4 31 236 0.866
4 32 212 0.844
4 33 210 0.869
4 34 190 0.821
4 35 214 0.852
4 36 223 0.87
4 37 175 0.861
4 38 199 0.867
4 39 257 0.875
4 40 233 0.848
4 41 233 0.905
4 42 220 0.858
4 43 257 0.917
4 44 296 0.862
4 45 306 0.788
4 46 341 0.858
4 47 378 0.852
4 48 507 0.783
5 1 367 0.785
5 2 275 0.839
5 3 229 0.89
5 4 246 0.86
5 5 221 0.887
5 6 228 0.916
5 7 212 0.851
5 8 187 0.899
5 9 176 0.847
5 10 193 0.887
5 11 183 0.909
5 12 188 0.884
5 13 191 0.825
5 14 191 0.878
5 15 182 0.905
5 16 180 0.925
5 17 168 0.875
5 18 170 0.865
5 19 221 0.914
5 20 192 0.915
5 21 198 0.855
5 22 176 0.904
5 23 207 0.856
5 24 218 0.91
5 25 188 0.812
5 26 212 0.851
5 27 169 0.88
5 28 174 0.885
5 29 202 0.929
5 30 203 0.815
5 31 209 0.872
5 32 203 0.808
5 33 193 0.852
5 34 225 0.859
5 35 230 0.886
5 36 99 0.927
5 37 185 0.862
5 38 232 0.868
5 39 251 0.921
5 40 196 0.794
5 41 240 0.801
5 42 262 0.777
5 43 234 0.76
5 44 252 0.864
5 45 208 0.821
5 46 263 0.782
5 47 397 0.811
5 48 482 0.874
6 1 424 0.879
6 2 292 0.84
6 3 229 0.92
6 4 198 0.855
6 5 174 0.848
6 6 199 0.886
6 7 219 0.887
6 8 204 0.909
6 9 187 0.917
6 10 175 0.912
6 11 171 0.9
6 12 152 0.915
6 13 186 0.916
6 14 170 0.894
6 15 171 0.922
6 16 189 0.918
6 17 152 0.892
6 18 184 0.936
6 19 192 0.883
6 20 182 0.884
6 21 198 0.902
6 22 183 0.931
6 23 164 0.906
6 24 139 0.891
6 25 142 0.896
6 26 230 0.847
6 27 142 0.864
6 28 173 0.781
6 29 194 0.82
6 30 162 0.873
6 31 184 0.894
6 32 225 0.885
6 33 189 0.861
6 34 204 0.889
6 35 199 0.895
6 36 238 0.873
6 37 167 0.9
6 38 199 0.903
6 39 188 0.837
6 40 203 0.858
6 41 209 0.857
6 42 164 0.884
6 43 245 0.834
6 44 244 0.695
6 45 66 0.898
6 46 301 0.814
6 47 273 0.827
6 48 420 0.877
7 1 315 0.866
7 2 256 0.871
7 3 238 0.891
7 4 198 0.863
7 5 190 0.865
7 6 218 0.85
7 7 190 0.923
7 8 192 0.874
7 9 158 0.895
7 10 184 0.854
7 11 158 0.704
7 12 181 0.879
7 13 180 0.903
7 14 185 0.89
7 15 175 0.921
7 16 182 0.803
7 17 150 0.936
7 18 197 0.914
7 19 177 0.922
7 20 199 0.823
7 21 176 0.895
7 22 182 0.875
7 23 148 0.847
7 24 187 0.744
7 25 177 0.848
7 26 182 0.905
7 27 160 0.834
7 28 190 0.865
7 29 175 0.85
7 30 189 0.861
7 31 189 0.909
7 32 133 0.946
7 33 189 0.737
7 34 221 0.914
7 35 200 0.845
7 36 205 0.848
7 37 198 0.837
7 38 216 0.867
7 39 228 0.836
7 40 247 0.881
7 41 193 0.895
7 42 233 0.89
7 43 213 0.791
7 44 270 0.855
7 45 280 0.863
7 46 293 0.755
7 47 333 0.824
7 48 551 0.734
8 1 324 0.759
8 2 230 0.83
8 3 179 0.89
8 4 205 0.83
8 5 198 0.847
8 6 222 0.873
8 7 53 0.827
8 8 82 0.859
8 9 199 0.936
8 10 195 0.917
8 11 178 0.927
8 12 173 0.901
8 13 212 0.916
8 14 197 0.878
8 15 163 0.821
8 16 174 0.856
8 17 183 0.901
8 18 172 0.783
8 19 193 0.879
8 20 198 0.931
8 21 197 0.851
8 22 180 0.878
8 23 203 0.843
8 24 151 0.855
8 25 191 0.843
8 26 168 0.897
8 27 188 0.778
8 28 169 0.889
8 29 185 0.862
8 30 119 0.87
8 31 208 0.801
8 32 191 0.751
8 33 188 0.876
8 34 154 0.851
8 35 209 0.891
8 36 192 0.874
8 37 173 0.889
8 38 185 0.898
8 39 179 0.942
8 40 96 0.834
8 41 206 0.89
8 42 230 0.912
8 43 281 0.887
8 44 269 0.865
8 45 327 0.842
8 46 328 0.831
8 47 319 0.862
8 48 538 0.756
9 1 314 0.849
9 2 287 0.838
9 3 257 0.851
9 4 236 0.876
9 5 169 0.795
9 6 135 0.908
9 7 204 0.862
9 8 222 0.891
9 9 160 0.915
9 10 197 0.926
9 11 158 0.864
9 12 182 0.926
9 13 165 0.88
9 14 192 0.903
9 15 162 0.844
9 16 150 0.8
9 17 169 0.86
9 18 165 0.848
9 19 192 0.924
9 20 187 0.908
9 21 168 0.797
9 22 157 0.829
9 23 197 0.784
9 24 158 0.873
9 25 192 0.903
9 26 181 0.851
9 27 209 0.872
9 28 189 0.897
9 29 224 0.838
9 30 199 0.915
9 31 197 0.731
9 32 177 0.871
9 33 187 0.871
9 34 203 0.885
9 35 216 0.894
9 36 193 0.834
9 37 204 0.873
9 38 193 0.887
9 39 212 0.877
9 40 224 0.927
9 41 209 0.883
9 42 218 0.902
9 43 221 0.884
9 44 242 0.801
9 45 211 0.92
9 46 253 0.868
9 47 368 0.835
9 48 483 0.672
10 1 330 0.871
10 2 272 0.809
10 3 240 0.856
10 4 216 0.913
10 5 190 0.905
10 6 178 0.885
10 7 191 0.907
10 8 177 0.931
10 9 161 0.908
10 10 190 0.732
10 11 165 0.88
10 12 167 0.9
10 13 188 0.845
10 14 154 0.881
10 15 193 0.863
10 16 144 0.787
10 17 197 0.878
10 18 170 0.865
10 19 161 0.8
10 20 143 0.83
10 21 202 0.908
10 22 162 0.844
10 23 188 0.856
10 24 180 0.866
10 25 172 0.875
10 26 180 0.831
10 27 175 0.878
10 28 200 0.872
10 29 172 0.809
10 30 171 0.842
10 31 154 0.881
10 32 179 0.834
10 33 170 0.857
10 34 208 0.861
10 35 211 0.92
10 36 200 0.899
10 37 174 0.837
10 38 190 0.882
10 39 196 0.913
10 40 178 0.906
10 41 221 0.869
10 42 231 0.824
10 43 226 0.839
10 44 250 0.851
10 45 251 0.741
10 46 306 0.856
10 47 334 0.846
10 48 417 0.737
11 1 331 0.831
11 2 290 0.875
11 3 237 0.776
11 4 175 0.89
11 5 192 0.874
11 6 193 0.928
11 7 193 0.879
11 8 184 0.838
11 9 142 0.842
11 10 212 0.859
11 11 192 0.755
11 12 165 0.889
11 13 204 0.826
11 14 155 0.919
11 15 183 0.889
11 16 163 0.829
11 17 181 0.9
11 18 159 0.848
11 19 191 0.928
11 20 155 0.878
11 21 177 0.888
11 22 166 0.798
11 23 188 0.864
11 24 183 0.901
11 25 165 0.889
11 26 172 0.896
11 27 174 0.877
11 28 153 0.897
11 29 163 0.87
11 30 168 0.937
11 31 138 0.918
11 32 170 0.886
11 33 167 0.87
11 34 181 0.758
11 35 210 0.851
11 36 211 0.908
11 37 178 0.885
11 38 212 0.916
11 39 215 0.917
11 40 143 0.893
11 41 217 0.917
11 42 202 0.9
11 43 205 0.859
11 44 281 0.864
11 45 248 0.874
11 46 230 0.886
11 47 357 0.626
11 48 498 0.833
12 1 288 0.863
12 2 245 0.874
12 3 217 0.79
12 4 232 0.886
12 5 214 0.913
12 6 179 0.834
12 7 86 0.914
12 8 112 0.778
12 9 179 0.861
12 10 158 0.852
12 11 169 0.933
12 12 147 0.841
12 13 169 0.889
12 14 193 0.871
12 15 188 0.837
12 16 164 0.938
12 17 172 0.905
12 18 174 0.81
12 19 216 0.894
12 20 185 0.89
12 21 190 0.857
12 22 160 0.884
12 23 173 0.942
12 24 172 0.918
12 25 198 0.89
12 26 169 0.889
12 27 216 0.809
12 28 137 0.874
12 29 215 0.828
12 30 192 0.891
12 31 167 0.879
12 32 205 0.922
12 33 191 0.862
12 34 151 0.909
12 35 172 0.875
12 36 180 0.916
12 37 178 0.873
12 38 196 0.893
12 39 179 0.869
12 40 212 0.869
12 41 210 0.812
12 42 217 0.815
12 43 234 0.835
12 44 226 0.896
12 45 205 0.838
12 46 199 0.841
12 47 306 0.836
12 48 461 0.773
13 1 351 0.849
13 2 223 0.852
13 3 206 0.834
13 4 187 0.908
13 5 213 0.928
13 6 203 0.885
13 7 203 0.866
13 8 203 0.833
13 9 176 0.847
13 10 173 0.88
13 11 156 0.862
13 12 180 0.795
13 13 184 0.795
13 14 167 0.803
13 15 166 0.865
13 16 127 0.967
13 17 166 0.865
13 18 175 0.89
