row  column  size-1  circ-1
1 1 621 0.904
1 2 530 0.887
1 3 493 0.864
1 4 414 0.864
1 5 451 0.792
1 6 464 0.836
1 7 404 0.875
1 8 392 0.833
1 9 343 0.896
1 10 376 0.907
1 11 372 0.831
1 12 393 0.84
1 13 339 0.801
1 14 333 0.879
1 15 324 0.861
1 16 347 0.907
1 17 396 0.847
1 18 390 0.896
1 19 382 0.848
1 20 375 0.845
1 21 375 0.884
1 22 369 0.864
1 23 370 0.907
1 24 372 0.844
1 25 433 0.836
1 26 397 0.74
1 27 355 0.891
1 28 421 0.868
1 29 426 0.854
1 30 417 0.778
1 31 384 0.891
1 32 361 0.819
1 33 613 0.78
1 34 613 0.826
1 35 389 0.869
1 36 371 0.869
1 37 466 0.824
1 38 372 0.871
1 39 460 0.786
1 40 405 0.847
1 41 553 0.826
1 42 580 0.787
1 43 525 0.813
1 44 560 0.769
1 45 560 0.707
1 46 634 0.653
1 47 649 0.759
1 48 704 0.895
2 1 469 0.852
2 2 365 0.869
2 3 300 0.76
2 4 313 0.882
2 5 262 0.875
2 6 265 0.861
2 7 204 0.889
2 8 218 0.85
2 9 258 0.854
2 10 256 0.895
2 11 252 0.874
2 12 258 0.814
2 13 265 0.794
2 14 268 0.888
2 15 256 0.913
2 16 269 0.842
2 17 261 0.895
2 18 276 0.864
2 19 217 0.79
2 20 264 0.836
2 21 267 0.898
2 22 260 0.845
2 23 279 0.795
2 24 292 0.745
2 25 276 0.836
2 26 270 0.758
2 27 241 0.82
2 28 214 0.913
2 29 259 0.826
2 30 257 0.74
2 31 258 0.902
2 32 287 0.829
2 33 196 0.804
2 34 213 0.855
2 35 246 0.87
2 36 272 0.852
2 37 279 0.845
2 38 309 0.829
2 39 39 0.786
2 40 327 0.73
2 41 317 0.863
2 42 316 0.86
2 43 282 0.781
2 44 351 0.86
2 45 357 0.685
2 46 354 0.68
2 47 521 0.804
2 48 608 0.74
3 1 197 0.851
3 2 142 0.854
3 3 284 0.836
3 4 230 0.672
3 5 218 0.85
3 6 186 0.756
3 7 213 0.831
3 8 212 0.869
3 9 216 0.875
3 10 180 0.777
3 11 227 0.893
3 12 186 0.803
3 13 188 0.837
3 14 207 0.922
3 15 205 0.893
3 16 144 0.867
3 17 211 0.746
3 18 211 0.884
3 19 187 0.908
3 20 211 0.908
3 21 0 0.0
3 22 0 0.0
3 23 216 0.842
3 24 218 0.793
3 25 75 0.786
3 26 92 0.862
3 27 239 0.813
3 28 229 0.817
3 29 240 0.925
3 30 218 0.85
3 31 230 0.814
3 32 238 0.816
3 33 226 0.816
3 34 227 0.819
3 35 233 0.872
3 36 249 0.841
3 37 231 0.916
3 38 264 0.851
3 39 287 0.789
3 40 251 0.921
3 41 296 0.834
3 42 268 0.785
3 43 254 0.841
3 44 277 0.795
3 45 367 0.838
3 46 343 0.811
3 47 381 0.778
3 48 489 0.825
4 1 417 0.884
4 2 330 0.856
4 3 256 0.871
4 4 253 0.822
4 5 195 0.817
4 6 196 0.846
4 7 220 0.848
4 8 223 0.888
4 9 212 0.859
4 10 169 0.84
4 11 207 0.856
4 12 180 0.886
4 13 197 0.897
4 14 189 0.939
4 15 201 0.752
4 16 192 0.84
4 17 165 0.889
4 18 180 0.874
4 19 192 0.874
4 20 160 0.854
4 21 180 0.754
4 22 169 0.86
4 23 183 0.852
4 24 299 0.776
4 25 162 0.824
4 26 162 0.762
4 27 210 0.809
4 28 219 0.803
4 29 203 0.893
4 30 201 0.784
4 31 168 0.783
4 32 199 0.895
4 33 216 0.842
4 34 218 0.902
4 35 198 0.819
4 36 200 0.872
4 37 237 0.887
4 38 231 0.872
4 39 266 0.871
4 40 251 0.895
4 41 233 0.848
4 42 233 0.808
4 43 245 0.834
4 44 255 0.801
4 45 401 0.781
4 46 465 0.799
4 47 383 0.869
4 48 543 0.746
5 1 429 0.823
5 2 297 0.852
5 3 244 0.885
5 4 216 0.875
5 5 195 0.824
5 6 186 0.924
5 7 215 0.871
5 8 191 0.886
5 9 202 0.88
5 10 176 0.835
5 11 191 0.878
5 12 190 0.846
5 13 168 0.846
5 14 169 0.889
5 15 169 0.889
5 16 192 0.837
5 17 183 0.798
5 18 202 0.95
5 19 191 0.767
5 20 192 0.883
5 21 171 0.87
5 22 186 0.883
5 23 217 0.871
5 24 165 0.889
5 25 179 0.853
5 26 146 0.753
5 27 198 0.91
5 28 197 0.897
5 29 145 0.873
5 30 199 0.886
5 31 195 0.896
5 32 200 0.899
5 33 213 0.804
5 34 213 0.8
5 35 227 0.766
5 36 223 0.877
