row  column  size-1  circ-1
1 1 523 0.899
1 2 445 0.852
1 3 457 0.914
1 4 428 0.901
1 5 388 0.842
1 6 378 0.885
1 7 357 0.911
1 8 360 0.903
1 9 386 0.857
1 10 376 0.901
1 11 347 0.845
1 12 305 0.907
1 13 324 0.913
1 14 334 0.881
1 15 334 0.866
1 16 354 0.842
1 17 344 0.892
1 18 328 0.865
1 19 346 0.883
1 20 316 0.907
1 21 305 0.869
1 22 326 0.881
1 23 302 0.875
1 24 332 0.772
1 25 348 0.82
1 26 333 0.85
1 27 338 0.898
1 28 381 0.872
1 29 315 0.774
1 30 357 0.875
1 31 336 0.893
1 32 395 0.852
1 33 355 0.87
1 34 330 0.836
1 35 497 0.848
1 36 475 0.896
1 37 348 0.861
1 38 390 0.821
1 39 358 0.833
1 40 415 0.887
1 41 414 0.891
1 42 394 0.894
1 43 492 0.867
1 44 539 0.835
1 45 521 0.855
1 46 530 0.892
1 47 0 0.0
1 48 0 0.0
2 1 530 0.833
2 2 372 0.906
2 3 329 0.911
2 4 311 0.932
2 5 344 0.914
2 6 294 0.871
2 7 292 0.881
2 8 307 0.859
2 9 248 0.837
2 10 270 0.877
2 11 253 0.885
2 12 245 0.834
2 13 309 0.893
2 14 292 0.859
2 15 284 0.882
2 16 267 0.891
2 17 286 0.857
2 18 271 0.881
2 19 326 0.86
2 20 278 0.864
2 21 305 0.881
2 22 284 0.896
2 23 265 0.808
2 24 301 0.864
2 25 251 0.871
2 26 319 0.884
2 27 295 0.805
2 28 257 0.858
2 29 279 0.836
2 30 278 0.894
2 31 322 0.85
2 32 280 0.877
2 33 282 0.893
2 34 250 0.851
2 35 251 0.895
2 36 263 0.902
2 37 294 0.852
2 38 280 0.854
2 39 322 0.886
2 40 271 0.842
2 41 230 0.886
2 42 320 0.902
2 43 348 0.873
2 44 362 0.879
2 45 286 0.82
2 46 413 0.87
2 47 565 0.812
2 48 686 0.902
3 1 435 0.75
3 2 312 0.895
3 3 280 0.893
3 4 249 0.847
3 5 215 0.846
3 6 261 0.931
3 7 239 0.895
3 8 205 0.874
3 9 213 0.807
3 10 214 0.904
3 11 232 0.894
3 12 246 0.86
3 13 205 0.934
3 14 211 0.911
3 15 262 0.916
3 16 204 0.889
3 17 234 0.869
3 18 146 0.946
3 19 233 0.898
3 20 196 0.873
3 21 245 0.917
3 22 258 0.946
3 23 148 0.914
3 24 272 0.861
3 25 227 0.885
3 26 142 0.864
3 27 233 0.865
3 28 152 0.892
3 29 249 0.913
3 30 214 0.736
3 31 187 0.908
3 32 149 0.776
3 33 274 0.851
3 34 254 0.871
3 35 198 0.882
3 36 232 0.886
3 37 251 0.829
3 38 268 0.902
3 39 260 0.909
3 40 273 0.901
3 41 254 0.913
3 42 267 0.909
3 43 282 0.883
3 44 297 0.89
3 45 339 0.859
3 46 361 0.832
3 47 402 0.878
3 48 467 0.889
4 1 425 0.868
4 2 283 0.886
4 3 277 0.877
4 4 256 0.878
4 5 213 0.908
4 6 272 0.852
4 7 214 0.842
4 8 226 0.908
4 9 169 0.92
4 10 222 0.785
4 11 206 0.827
4 12 213 0.855
4 13 203 0.85
4 14 233 0.898
4 15 211 0.911
4 16 222 0.848
4 17 220 0.848
4 18 214 0.933
4 19 226 0.806
4 20 212 0.877
4 21 179 0.861
4 22 220 0.902
4 23 211 0.892
4 24 201 0.924
4 25 214 0.893
4 26 210 0.935
4 27 260 0.909
4 28 254 0.888
4 29 204 0.889
4 30 199 0.936
4 31 236 0.909
4 32 220 0.902
4 33 233 0.89
4 34 188 0.848
4 35 234 0.688
4 36 272 0.891
4 37 214 0.924
4 38 233 0.89
4 39 264 0.898
4 40 226 0.915
4 41 243 0.884
4 42 267 0.868
4 43 264 0.898
4 44 257 0.899
4 45 284 0.857
4 46 327 0.884
4 47 461 0.877
4 48 538 0.893
5 1 411 0.84
5 2 283 0.818
5 3 236 0.825
5 4 245 0.867
5 5 202 0.892
5 6 242 0.863
5 7 208 0.89
5 8 190 0.803
5 9 185 0.824
5 10 185 0.878
5 11 216 0.867
5 12 207 0.807
5 13 210 0.836
5 14 205 0.874
5 15 178 0.906
5 16 205 0.866
5 17 176 0.847
5 18 178 0.897
5 19 226 0.829
5 20 191 0.843
5 21 199 0.906
5 22 180 0.916
5 23 198 0.837
5 24 238 0.891
5 25 200 0.94
5 26 200 0.838
5 27 171 0.804
5 28 184 0.838
5 29 223 0.789
5 30 208 0.918
5 31 202 0.88
5 32 190 0.846
5 33 219 0.797
5 34 208 0.879
5 35 205 0.893
5 36 19 0.624
5 37 227 0.959
5 38 213 0.855
5 39 235 0.905
5 40 203 0.904
5 41 239 0.895
5 42 236 0.909
5 43 265 0.817
5 44 209 0.911
5 45 237 0.887
5 46 299 0.837
5 47 376 0.792
5 48 505 0.798
6 1 404 0.864
6 2 282 0.883
6 3 264 0.858
6 4 233 0.89
6 5 201 0.887
6 6 220 0.84
6 7 242 0.906
6 8 177 0.954
6 9 189 0.853
6 10 199 0.957
6 11 192 0.863
6 12 172 0.918
6 13 198 0.902
6 14 179 0.842
6 15 197 0.87
6 16 205 0.934
6 17 195 0.908
6 18 187 0.888
6 19 228 0.83
6 20 179 0.911
6 21 200 0.787
6 22 187 0.899
6 23 147 0.908
6 24 136 0.895
6 25 156 0.87
6 26 185 0.898
6 27 142 0.824
6 28 183 0.783
6 29 216 0.811
6 30 178 0.868
6 31 191 0.859
6 32 199 0.906
6 33 184 0.923
6 34 226 0.889
6 35 214 0.904
6 36 218 0.857
6 37 184 0.885
6 38 230 0.886
6 39 205 0.893
6 40 225 0.885
6 41 214 0.904
6 42 165 0.898
6 43 260 0.861
6 44 271 0.777
6 45 53 0.975
6 46 279 0.795
6 47 339 0.62
6 48 480 0.773
7 1 366 0.849
7 2 301 0.902
7 3 268 0.848
7 4 202 0.721
7 5 212 0.877
7 6 189 0.909
7 7 166 0.895
7 8 193 0.916
7 9 195 0.888
7 10 186 0.895
7 11 191 0.919
7 12 183 0.931
7 13 206 0.845
7 14 212 0.869
7 15 193 0.899
7 16 184 0.877
7 17 185 0.89
7 18 186 0.875
7 19 172 0.791
7 20 216 0.913
7 21 187 0.86
7 22 208 0.906
7 23 159 0.9
7 24 168 0.875
7 25 195 0.888
7 26 192 0.874
7 27 171 0.922
7 28 200 0.899
7 29 192 0.804
7 30 201 0.895
7 31 208 0.853
7 32 169 0.805
7 33 198 0.902
7 34 211 0.92
7 35 190 0.914
7 36 216 0.933
7 37 163 0.956
7 38 210 0.896
7 39 171 0.954
7 40 249 0.895
7 41 220 0.883
7 42 235 0.905
7 43 229 0.875
7 44 256 0.903
7 45 276 0.857
7 46 325 0.858
7 47 336 0.829
7 48 433 0.885
8 1 346 0.848
8 2 236 0.812
8 3 257 0.924
8 4 232 0.894
8 5 200 0.864
8 6 196 0.865
8 7 70 0.87
8 8 102 0.955
8 9 173 0.889
8 10 214 0.904
8 11 197 0.808
8 12 175 0.921
8 13 190 0.885
8 14 213 0.908
8 15 187 0.899
8 16 149 0.93
8 17 219 0.887
8 18 174 0.885
8 19 183 0.909
8 20 194 0.803
8 21 196 0.873
8 22 198 0.866
8 23 195 0.888
8 24 150 0.912
8 25 194 0.856
8 26 177 0.851
8 27 213 0.9
8 28 170 0.829
8 29 205 0.905
8 30 154 0.842
8 31 242 0.863
8 32 200 0.94
8 33 178 0.885
8 34 160 0.884
8 35 209 0.876
8 36 205 0.934
8 37 177 0.88
8 38 215 0.846
8 39 209 0.883
8 40 0 0.0
8 41 240 0.898
8 42 240 0.866
8 43 289 0.929
8 44 252 0.899
8 45 308 0.906
8 46 326 0.897
8 47 352 0.898
8 48 435 0.889
9 1 358 0.898
9 2 264 0.858
9 3 271 0.867
9 4 256 0.888
9 5 203 0.904
9 6 206 0.89
9 7 198 0.855
9 8 194 0.933
9 9 205 0.841
9 10 194 0.864
9 11 206 0.918
9 12 171 0.922
9 13 181 0.871
9 14 201 0.86
9 15 162 0.904
9 16 174 0.856
9 17 193 0.879
9 18 182 0.896
9 19 167 0.9
9 20 181 0.9
9 21 184 0.846
9 22 174 0.907
9 23 181 0.871
9 24 151 0.886
9 25 184 0.885
9 26 188 0.884
9 27 189 0.889
9 28 214 0.904
9 29 199 0.936
9 30 206 0.918
9 31 209 0.883
9 32 193 0.937
9 33 196 0.865
9 34 188 0.876
9 35 187 0.852
9 36 188 0.934
9 37 194 0.912
9 38 212 0.851
9 39 221 0.82
9 40 217 0.871
9 41 217 0.882
9 42 195 0.869
9 43 222 0.866
9 44 266 0.864
9 45 255 0.892
9 46 306 0.85
9 47 395 0.812
9 48 455 0.798
10 1 358 0.858
10 2 287 0.882
10 3 225 0.923
10 4 213 0.9
10 5 192 0.911
10 6 199 0.841
10 7 189 0.869
10 8 195 0.908
10 9 193 0.887
10 10 218 0.826
10 11 170 0.916
10 12 155 0.887
10 13 181 0.891
10 14 147 0.862
10 15 203 0.925
10 16 145 0.842
10 17 202 0.929
10 18 190 0.893
10 19 177 0.851
10 20 166 0.895
10 21 185 0.919
10 22 143 0.87
10 23 194 0.864
10 24 187 0.908
10 25 181 0.891
10 26 186 0.829
10 27 162 0.895
10 28 187 0.86
10 29 154 0.822
10 30 173 0.91
10 31 182 0.896
10 32 180 0.925
10 33 193 0.879
10 34 199 0.875
10 35 195 0.917
10 36 204 0.909
10 37 170 0.886
10 38 221 0.804
10 39 210 0.888
10 40 210 0.907
10 41 272 0.908
10 42 243 0.82
10 43 258 0.885
10 44 260 0.899
10 45 280 0.917
10 46 318 0.868
10 47 364 0.892
10 48 405 0.845
11 1 365 0.874
11 2 301 0.857
11 3 265 0.861
11 4 230 0.861
11 5 198 0.902
11 6 190 0.893
11 7 201 0.85
11 8 201 0.904
11 9 175 0.912
11 10 198 0.922
11 11 200 0.919
11 12 158 0.796
11 13 182 0.867
11 14 155 0.9
11 15 182 0.875
11 16 158 0.852
11 17 185 0.862
11 18 168 0.846
11 19 196 0.913
11 20 149 0.874
11 21 186 0.832
11 22 193 0.809
11 23 217 0.89
11 24 189 0.88
11 25 157 0.921
11 26 170 0.865
11 27 146 0.901
11 28 159 0.828
11 29 162 0.805
11 30 170 0.907
11 31 188 0.848
11 32 199 0.915
11 33 194 0.872
11 34 200 0.94
11 35 195 0.888
11 36 198 0.874
11 37 177 0.851
11 38 200 0.919
11 39 216 0.913
11 40 154 0.89
11 41 214 0.859
11 42 248 0.821
11 43 226 0.908
11 44 255 0.845
11 45 256 0.855
11 46 264 0.829
11 47 345 0.874
11 48 413 0.821
12 1 368 0.873
12 2 285 0.854
12 3 246 0.877
12 4 223 0.888
12 5 227 0.826
12 6 192 0.874
12 7 119 0.827
12 8 121 0.86
12 9 213 0.855
12 10 157 0.921
12 11 186 0.895
12 12 184 0.877
12 13 199 0.841
12 14 204 0.909
12 15 180 0.895
12 16 170 0.916
12 17 170 0.939
12 18 186 0.875
12 19 182 0.905
12 20 174 0.938
12 21 183 0.909
12 22 185 0.817
12 23 250 0.874
12 24 179 0.842
12 25 165 0.868
12 26 178 0.906
12 27 200 0.845
12 28 147 0.862
12 29 222 0.891
12 30 191 0.851
12 31 182 0.864
12 32 185 0.87
12 33 192 0.894
12 34 160 0.788
12 35 184 0.894
12 36 192 0.848
12 37 208 0.915
12 38 196 0.893
12 39 185 0.898
12 40 211 0.94
12 41 217 0.925
12 42 239 0.913
12 43 225 0.911
12 44 264 0.888
12 45 202 0.9
12 46 99 0.86
12 47 337 0.862
12 48 411 0.852
13 1 357 0.896
13 2 266 0.826
13 3 217 0.917
13 4 167 0.932
13 5 218 0.921
13 6 210 0.915
13 7 207 0.902
13 8 207 0.894
13 9 195 0.896
13 10 162 0.927
13 11 188 0.884
13 12 195 0.85
13 13 183 0.86
13 14 175 0.882
13 15 209 0.857
13 16 130 0.889
13 17 176 0.875
13 18 158 0.927
13 19 176 0.875
13 20 176 0.887
13 21 179 0.815
13 22 186 0.924
13 23 167 0.87
13 24 225 0.849
13 25 189 0.889
13 26 178 0.937
13 27 174 0.856
13 28 179 0.815
13 29 171 0.922
13 30 184 0.838
13 31 216 0.743
13 32 197 0.87
13 33 218 0.875
13 34 218 0.883
13 35 213 0.855
13 36 202 0.854
13 37 226 0.935
13 38 205 0.866
13 39 219 0.906
13 40 210 0.843
13 41 216 0.894
13 42 223 0.895
13 43 170 0.886
13 44 241 0.86
13 45 245 0.881
13 46 279 0.89
13 47 338 0.877
13 48 419 0.846
14 1 310 0.832
14 2 261 0.842
14 3 247 0.925
14 4 221 0.862
14 5 240 0.891
14 6 183 0.852
14 7 211 0.858
14 8 201 0.868
14 9 232 0.905
14 10 190 0.902
14 11 175 0.853
14 12 147 0.862
14 13 217 0.898
14 14 175 0.921
14 15 192 0.874
14 16 164 0.826
14 17 172 0.875
14 18 194 0.884
14 19 180 0.858
14 20 183 0.815
14 21 0 0.0
14 22 166 0.886
14 23 186 0.829
14 24 184 0.923
14 25 269 0.753
14 26 74 0.874
14 27 168 0.884
14 28 207 0.902
14 29 194 0.892
14 30 148 0.934
14 31 201 0.768
14 32 108 0.861
14 33 185 0.911
14 34 158 0.835
14 35 199 0.859
14 36 185 0.843
14 37 195 0.869
14 38 212 0.896
14 39 207 0.922
14 40 214 0.885
14 41 229 0.875
14 42 198 0.952
14 43 244 0.913
14 44 239 0.895
14 45 265 0.892
14 46 290 0.918
14 47 312 0.855
14 48 408 0.859
15 1 358 0.907
15 2 266 0.871
15 3 286 0.912
15 4 229 0.882
15 5 217 0.917
15 6 190 0.923
15 7 203 0.885
15 8 194 0.912
15 9 202 0.9
15 10 107 0.853
15 11 187 0.899
15 12 195 0.817
15 13 186 0.903
15 14 172 0.905
15 15 195 0.869
15 16 199 0.878
15 17 187 0.871
15 18 179 0.911
15 19 154 0.903
15 20 240 0.906
15 21 192 0.903
15 22 132 0.846
15 23 157 0.889
15 24 194 0.884
15 25 195 0.835
15 26 167 0.796
15 27 229 0.864
15 28 224 0.777
15 29 179 0.911
15 30 206 0.898
15 31 161 0.912
15 32 213 0.908
15 33 234 0.92
15 34 161 0.889
15 35 208 0.868
15 36 182 0.821
