row  column  size-1  circ-1
1 1 543 0.858
1 2 488 0.772
1 3 529 0.841
1 4 696 0.833
1 5 478 0.826
1 6 481 0.872
1 7 546 0.832
1 8 500 0.894
1 9 370 0.731
1 10 435 0.865
1 11 436 0.83
1 12 452 0.805
1 13 414 0.835
1 14 325 0.818
1 15 478 0.828
1 16 457 0.882
1 17 297 0.778
1 18 351 0.822
1 19 409 0.785
1 20 406 0.77
1 21 430 0.905
1 22 431 0.704
1 23 425 0.85
1 24 424 0.848
1 25 422 0.857
1 26 406 0.807
1 27 434 0.752
1 28 412 0.819
1 29 334 0.808
1 30 413 0.786
1 31 428 0.839
1 32 402 0.762
1 33 415 0.825
1 34 468 0.789
1 35 78 0.935
1 36 468 0.764
1 37 401 0.863
1 38 447 0.841
1 39 411 0.835
1 40 426 0.763
1 41 452 0.758
1 42 439 0.707
1 43 569 0.772
1 44 557 0.858
1 45 594 0.81
1 46 711 0.92
1 47 671 0.708
1 48 749 0.931
2 1 461 0.803
2 2 379 0.815
2 3 454 0.818
2 4 471 0.828
2 5 401 0.814
2 6 495 0.737
2 7 344 0.758
2 8 370 0.796
2 9 387 0.774
2 10 344 0.857
2 11 351 0.822
2 12 385 0.761
2 13 404 0.792
2 14 348 0.807
2 15 357 0.855
2 16 388 0.88
2 17 318 0.839
2 18 352 0.811
2 19 447 0.754
2 20 300 0.75
2 21 350 0.772
2 22 368 0.867
2 23 361 0.808
2 24 344 0.846
2 25 335 0.849
2 26 346 0.775
2 27 366 0.844
2 28 323 0.746
2 29 322 0.85
2 30 276 0.836
2 31 311 0.877
2 32 385 0.777
2 33 212 0.794
2 34 201 0.85
2 35 383 0.819
2 36 359 0.791
2 37 354 0.73
2 38 463 0.776
2 39 371 0.88
2 40 452 0.826
2 41 448 0.819
2 42 452 0.826
2 43 512 0.847
2 44 574 0.831
2 45 512 0.873
2 46 579 0.8
2 47 636 0.843
2 48 749 0.931
3 1 472 0.839
3 2 449 0.778
3 3 424 0.843
3 4 481 0.796
3 5 387 0.912
3 6 370 0.791
3 7 304 0.783
3 8 323 0.776
3 9 258 0.802
3 10 402 0.716
3 11 286 0.732
3 12 319 0.79
3 13 0 0.0
