row  column  size-1  circ-1
1 1 420 0.79
1 2 416 0.837
1 3 468 0.827
1 4 506 0.882
1 5 487 0.876
1 6 471 0.794
1 7 428 0.771
1 8 451 0.767
1 9 428 0.882
1 10 483 0.842
1 11 356 0.815
1 12 381 0.742
1 13 423 0.743
1 14 474 0.884
1 15 366 0.812
1 16 358 0.749
1 17 401 0.826
1 18 345 0.761
1 19 422 0.815
1 20 430 0.775
1 21 437 0.837
1 22 430 0.814
1 23 309 0.835
1 24 385 0.887
1 25 410 0.745
1 26 415 0.83
1 27 332 0.882
1 28 433 0.726
1 29 399 0.833
1 30 340 0.842
1 31 0 0.0
1 32 156 0.862
1 33 466 0.812
1 34 430 0.905
1 35 435 0.729
1 36 412 0.738
1 37 336 0.782
1 38 433 0.861
1 39 427 0.875
1 40 375 0.741
1 41 431 0.85
1 42 415 0.83
1 43 433 0.787
1 44 454 0.787
1 45 450 0.856
1 46 474 0.849
1 47 479 0.835
1 48 498 0.84
2 1 446 0.866
2 2 358 0.708
2 3 458 0.794
2 4 466 0.887
2 5 382 0.829
2 6 363 0.87
2 7 363 0.8
2 8 328 0.763
2 9 293 0.841
2 10 344 0.824
2 11 368 0.717
2 12 353 0.874
2 13 327 0.796
2 14 310 0.853
2 15 383 0.75
2 16 454 0.61
2 17 300 0.883
2 18 314 0.719
2 19 445 0.742
2 20 309 0.772
2 21 290 0.826
2 22 283 0.784
2 23 316 0.79
2 24 342 0.819
2 25 306 0.884
2 26 334 0.79
2 27 276 0.887
2 28 368 0.794
2 29 459 0.591
2 30 336 0.893
2 31 351 0.889
2 32 345 0.717
2 33 347 0.818
2 34 344 0.793
2 35 326 0.84
2 36 308 0.853
2 37 245 0.747
2 38 241 0.836
2 39 346 0.848
2 40 333 0.805
2 41 330 0.822
2 42 340 0.842
2 43 347 0.885
2 44 356 0.847
2 45 354 0.798
2 46 379 0.879
2 47 447 0.853
2 48 468 0.873
3 1 433 0.843
3 2 395 0.785
3 3 444 0.87
3 4 339 0.901
3 5 350 0.748
3 6 301 0.783
3 7 408 0.823
3 8 272 0.815
3 9 255 0.813
3 10 293 0.814
3 11 329 0.788
3 12 296 0.704
3 13 296 0.776
3 14 288 0.773
3 15 283 0.812
3 16 266 0.842
3 17 207 0.849
3 18 193 0.785
3 19 267 0.858
3 20 272 0.763
3 21 296 0.716
3 22 49 0.885
3 23 318 0.735
3 24 293 0.849
3 25 314 0.857
3 26 286 0.687
3 27 0 0.0
3 28 0 0.0
3 29 334 0.827
3 30 350 0.807
3 31 284 0.775
3 32 291 0.795
3 33 283 0.792
3 34 295 0.702
3 35 328 0.719
3 36 287 0.803
3 37 275 0.87
3 38 242 0.733
3 39 260 0.802
3 40 278 0.827
3 41 308 0.841
3 42 300 0.799
3 43 303 0.714
3 44 299 0.873
3 45 337 0.821
3 46 343 0.89
3 47 336 0.845
3 48 408 0.731
4 1 542 0.824
4 2 467 0.837
4 3 390 0.799
4 4 348 0.834
4 5 0 0.0
4 6 218 0.787
4 7 285 0.933
4 8 272 0.926
4 9 265 0.808
4 10 299 0.718
4 11 273 0.806
4 12 272 0.823
4 13 268 0.833
