row  column  size-1  circ-1
1 1 468 0.923
1 2 419 0.907
1 3 288 0.895
1 4 323 0.895
1 5 360 0.882
1 6 279 0.815
1 7 309 0.85
1 8 314 0.879
1 9 321 0.855
1 10 296 0.887
1 11 302 0.866
1 12 370 0.774
1 13 351 0.855
1 14 308 0.821
1 15 244 0.87
1 16 143 0.87
1 17 312 0.843
1 18 297 0.852
1 19 173 0.872
1 20 257 0.875
1 21 354 0.762
1 22 298 0.728
1 23 296 0.704
1 24 257 0.792
1 25 281 0.88
1 26 297 0.811
1 27 343 0.83
1 28 338 0.75
1 29 291 0.856
1 30 338 0.829
1 31 310 0.867
1 32 314 0.828
1 33 300 0.775
1 34 322 0.81
1 35 311 0.821
1 36 319 0.79
1 37 285 0.747
1 38 360 0.862
1 39 341 0.793
1 40 402 0.792
1 41 174 0.907
1 42 180 0.858
1 43 422 0.839
1 44 485 0.879
1 45 340 0.856
1 46 324 0.719
1 47 437 0.856
1 48 512 0.723
2 1 340 0.882
2 2 274 0.897
2 3 235 0.905
2 4 239 0.813
2 5 240 0.839
2 6 210 0.861
2 7 216 0.867
2 8 234 0.858
2 9 185 0.89
2 10 204 0.826
2 11 204 0.851
2 12 220 0.855
2 13 173 0.852
2 14 198 0.882
2 15 218 0.833
2 16 249 0.895
2 17 238 0.891
2 18 225 0.867
2 19 228 0.836
2 20 212 0.924
2 21 223 0.903
2 22 246 0.885
2 23 190 0.865
2 24 220 0.823
2 25 230 0.837
2 26 206 0.81
2 27 210 0.858
2 28 238 0.745
2 29 193 0.879
2 30 229 0.875
2 31 215 0.882
2 32 231 0.936
2 33 239 0.852
2 34 239 0.777
2 35 234 0.883
2 36 220 0.757
2 37 221 0.788
2 38 241 0.798
2 39 234 0.812
2 40 267 0.794
2 41 282 0.883
2 42 327 0.863
2 43 273 0.812
2 44 274 0.874
2 45 325 0.837
2 46 372 0.805
2 47 386 0.825
2 48 369 0.806
3 1 320 0.902
3 2 234 0.894
3 3 205 0.83
3 4 180 0.827
3 5 175 0.921
3 6 191 0.898
3 7 157 0.907
3 8 168 0.915
3 9 193 0.86
3 10 180 0.916
3 11 175 0.815
3 12 167 0.922
3 13 193 0.895
3 14 195 0.793
3 15 102 0.823
3 16 99 0.799
3 17 182 0.829
3 18 179 0.861
3 19 194 0.803
3 20 189 0.927
3 21 175 0.87
3 22 212 0.877
3 23 168 0.855
3 24 174 0.885
3 25 184 0.838
3 26 189 0.88
3 27 190 0.865
3 28 182 0.875
3 29 194 0.856
3 30 184 0.846
3 31 198 0.837
3 32 198 0.91
3 33 166 0.865
3 34 183 0.823
3 35 216 0.792
3 36 188 0.884
3 37 213 0.9
3 38 215 0.863
3 39 214 0.849
3 40 202 0.715
3 41 238 0.873
3 42 214 0.885
3 43 219 0.906
3 44 230 0.807
3 45 261 0.817
3 46 293 0.82
3 47 348 0.855
3 48 335 0.835
4 1 334 0.855
4 2 211 0.881
4 3 195 0.842
4 4 113 0.886
4 5 156 0.949
4 6 129 0.872
4 7 148 0.934
4 8 152 0.892
4 9 184 0.82
4 10 161 0.847
4 11 167 0.879
4 12 153 0.825
4 13 69 0.857
4 14 164 0.875
4 15 169 0.88
4 16 156 0.87
4 17 156 0.915
4 18 149 0.861
4 19 122 0.848
4 20 171 0.87
4 21 154 0.913
4 22 187 0.808
4 23 137 0.824
4 24 149 0.906
4 25 178 0.803
4 26 135 0.934
4 27 165 0.868
4 28 173 0.817
4 29 153 0.845
4 30 124 0.848
4 31 186 0.895
4 32 190 0.902
4 33 179 0.757
4 34 191 0.919
4 35 157 0.838
4 36 189 0.889
4 37 182 0.913
4 38 184 0.914
4 39 170 0.837
4 40 198 0.898
4 41 185 0.881
4 42 208 0.871
4 43 181 0.891
4 44 231 0.865
4 45 230 0.789
4 46 263 0.796
4 47 204 0.889
4 48 324 0.897
5 1 303 0.891
5 2 248 0.86
5 3 187 0.899
5 4 143 0.851
5 5 133 0.862
5 6 121 0.921
5 7 135 0.865
