row  column  size-1  circ-1
1 1 644 0.931
1 2 481 0.855
1 3 436 0.842
1 4 394 0.906
1 5 474 0.884
1 6 494 0.878
1 7 363 0.875
1 8 404 0.864
1 9 364 0.82
1 10 436 0.891
1 11 415 0.879
1 12 423 0.864
1 13 303 0.848
1 14 363 0.837
1 15 359 0.866
1 16 411 0.879
1 17 397 0.887
1 18 431 0.85
1 19 417 0.839
1 20 407 0.844
1 21 453 0.867
1 22 405 0.827
1 23 379 0.833
1 24 394 0.795
1 25 439 0.873
1 26 399 0.782
1 27 345 0.854
1 28 396 0.821
1 29 463 0.812
1 30 390 0.911
1 31 415 0.75
1 32 424 0.829
1 33 471 0.837
1 34 321 0.876
1 35 516 0.842
1 36 462 0.826
1 37 527 0.773
1 38 464 0.831
1 39 480 0.837
1 40 469 0.817
1 41 499 0.804
1 42 495 0.783
1 43 490 0.8
1 44 554 0.778
1 45 546 0.596
1 46 643 0.795
1 47 720 0.802
1 48 701 0.777
2 1 148 0.602
2 2 72 0.687
2 3 298 0.861
2 4 257 0.858
2 5 245 0.747
2 6 224 0.846
2 7 171 0.858
2 8 190 0.854
2 9 260 0.808
2 10 228 0.714
2 11 246 0.837
2 12 271 0.902
2 13 242 0.917
2 14 255 0.792
2 15 253 0.838
2 16 259 0.865
2 17 248 0.925
2 18 256 0.755
2 19 228 0.741
2 20 271 0.888
2 21 235 0.855
2 22 238 0.81
2 23 243 0.798
2 24 237 0.75
2 25 239 0.852
2 26 260 0.759
2 27 245 0.899
2 28 245 0.874
2 29 238 0.826
2 30 264 0.752
2 31 272 0.821
2 32 268 0.902
2 33 233 0.688
2 34 186 0.513
2 35 271 0.833
2 36 249 0.74
2 37 289 0.795
2 38 284 0.781
2 39 39 1.0
2 40 415 0.79
2 41 312 0.735
2 42 310 0.846
2 43 285 0.818
2 44 334 0.813
2 45 459 0.673
2 46 385 0.628
2 47 502 0.647
2 48 622 0.848
3 1 230 0.82
3 2 144 0.677
3 3 271 0.833
3 4 205 0.848
3 5 207 0.875
3 6 140 0.804
3 7 182 0.84
3 8 185 0.898
3 9 186 0.924
3 10 145 0.675
3 11 169 0.868
3 12 150 0.828
3 13 191 0.758
3 14 173 0.695
3 15 210 0.888
3 16 171 0.879
3 17 174 0.818
3 18 198 0.819
3 19 157 0.921
3 20 200 0.796
3 21 37 0.948
3 22 0 0.0
3 23 198 0.855
3 24 214 0.842
3 25 173 0.74
3 26 178 0.688
3 27 237 0.913
3 28 198 0.822
3 29 220 0.8
3 30 181 0.789
3 31 238 0.839
3 32 207 0.824
3 33 227 0.73
3 34 232 0.768
3 35 253 0.786
3 36 239 0.829
3 37 221 0.804
3 38 236 0.876
3 39 249 0.871
3 40 242 0.833
3 41 332 0.849
3 42 377 0.75
3 43 249 0.704
3 44 260 0.892
3 45 317 0.667
3 46 341 0.804
3 47 435 0.835
3 48 481 0.713
4 1 437 0.844
4 2 284 0.762
4 3 207 0.838
4 4 200 0.891
4 5 171 0.862
4 6 181 0.887
4 7 213 0.804
4 8 207 0.753
4 9 184 0.906
4 10 162 0.797
4 11 189 0.716
4 12 175 0.657
4 13 189 0.75
4 14 181 0.742
4 15 192 0.874
4 16 168 0.827
4 17 155 0.887
4 18 188 0.884
4 19 152 0.731
4 20 126 0.829
4 21 167 0.879
4 22 174 0.865
4 23 164 0.875
4 24 157 0.907
4 25 145 0.873
4 26 167 0.9
