row  column  size-1  circ-1
1 1 385 0.836
1 2 377 0.837
1 3 324 0.882
1 4 349 0.85
1 5 332 0.888
1 6 356 0.867
1 7 312 0.895
1 8 362 0.861
1 9 309 0.85
1 10 334 0.852
1 11 287 0.823
1 12 290 0.82
1 13 312 0.829
1 14 324 0.827
1 15 354 0.868
1 16 289 0.795
1 17 340 0.867
1 18 270 0.868
1 19 242 0.823
1 20 261 0.796
1 21 300 0.867
1 22 318 0.819
1 23 294 0.781
1 24 253 0.838
1 25 293 0.856
1 26 340 0.815
1 27 317 0.909
1 28 323 0.824
1 29 294 0.783
1 30 255 0.778
1 31 39 0.841
1 32 25 0.821
1 33 324 0.73
1 34 267 0.909
1 35 350 0.858
1 36 307 0.81
1 37 328 0.851
1 38 338 0.823
1 39 353 0.771
1 40 394 0.788
1 41 429 0.793
1 42 417 0.723
1 43 455 0.672
1 44 455 0.772
1 45 467 0.729
1 46 432 0.801
1 47 454 0.741
1 48 422 0.704
2 1 321 0.862
2 2 279 0.836
2 3 322 0.835
2 4 258 0.823
2 5 254 0.841
2 6 221 0.844
2 7 212 0.834
2 8 221 0.827
2 9 224 0.777
2 10 224 0.899
2 11 239 0.829
2 12 229 0.84
2 13 212 0.827
2 14 196 0.865
2 15 229 0.85
2 16 309 0.909
2 17 206 0.817
2 18 227 0.772
2 19 257 0.865
2 20 197 0.878
2 21 235 0.806
2 22 190 0.846
2 23 214 0.904
2 24 222 0.77
2 25 197 0.897
2 26 229 0.779
2 27 189 0.792
2 28 265 0.892
2 29 283 0.792
2 30 237 0.869
2 31 234 0.79
2 32 245 0.811
2 33 226 0.871
2 34 228 0.878
2 35 212 0.869
2 36 222 0.838
2 37 189 0.842
2 38 197 0.914
2 39 250 0.812
2 40 250 0.751
2 41 234 0.701
2 42 286 0.809
2 43 330 0.633
2 44 340 0.556
2 45 367 0.68
2 46 399 0.782
2 47 371 0.774
2 48 418 0.786
3 1 316 0.854
3 2 266 0.758
3 3 280 0.877
3 4 273 0.919
3 5 269 0.78
3 6 177 0.84
3 7 248 0.885
3 8 206 0.837
3 9 159 0.828
3 10 198 0.837
3 11 176 0.926
3 12 176 0.866
3 13 172 0.867
3 14 190 0.839
3 15 168 0.835
3 16 158 0.873
3 17 122 0.834
3 18 124 0.803
3 19 162 0.832
3 20 170 0.792
3 21 194 0.892
3 22 51 0.981
3 23 169 0.84
3 24 169 0.933
3 25 184 0.894
3 26 200 0.872
3 27 0 0.0
3 28 0 0.0
3 29 184 0.83
3 30 204 0.757
3 31 192 0.883
3 32 197 0.731
3 33 198 0.772
3 34 178 0.786
3 35 207 0.849
3 36 198 0.874
3 37 219 0.725
3 38 223 0.845
3 39 214 0.67
3 40 205 0.806
3 41 224 0.756
3 42 205 0.856
3 43 231 0.89
3 44 246 0.677
3 45 281 0.749
3 46 342 0.593
3 47 366 0.75
3 48 395 0.802
4 1 382 0.646
4 2 320 0.83
4 3 260 0.829
4 4 253 0.822
4 5 0 0.0
4 6 120 0.903
4 7 199 0.915
4 8 184 0.885
4 9 132 0.824
4 10 162 0.852
4 11 172 0.867
4 12 170 0.894
4 13 163 0.849
4 14 162 0.895
4 15 156 0.883
4 16 165 0.839
4 17 187 0.833
4 18 156 0.75
4 19 174 0.885
4 20 160 0.854
4 21 136 0.614
4 22 161 0.889
4 23 162 0.779
4 24 170 0.926
4 25 143 0.926
4 26 134 0.718
4 27 162 0.864
4 28 179 0.89
4 29 173 0.872
4 30 181 0.879
4 31 0 0.0
4 32 0 0.0
4 33 165 0.944
4 34 154 0.89
4 35 192 0.855
4 36 192 0.771
4 37 0 0.0
4 38 0 0.0
4 39 209 0.76
4 40 220 0.751
4 41 220 0.715
4 42 177 0.901
4 43 190 0.885
4 44 269 0.761
4 45 222 0.783
4 46 221 0.699
4 47 326 0.73
4 48 528 0.855
5 1 324 0.855
5 2 279 0.786
5 3 249 0.809
5 4 226 0.832
5 5 208 0.879
5 6 189 0.861
5 7 181 0.758
5 8 201 0.737
5 9 158 0.852
5 10 153 0.866
5 11 159 0.866
5 12 153 0.907
5 13 138 0.83
5 14 134 0.916
5 15 135 0.934
5 16 147 0.862
5 17 155 0.887
5 18 151 0.855
5 19 163 0.841
5 20 154 0.913
5 21 150 0.858
5 22 151 0.886
5 23 158 0.895
5 24 160 0.884
5 25 143 0.883
5 26 154 0.802
5 27 155 0.865
5 28 159 0.848
5 29 149 0.844
5 30 167 0.87
5 31 172 0.82
5 32 171 0.804
5 33 133 0.885
5 34 180 0.838
5 35 178 0.793
5 36 181 0.64
5 37 185 0.87
5 38 180 0.702
5 39 109 0.844
5 40 120 0.853
5 41 158 0.904
5 42 157 0.846
5 43 206 0.89
5 44 185 0.792
5 45 227 0.816
5 46 280 0.818
5 47 349 0.571
5 48 456 0.873
6 1 357 0.823
6 2 251 0.807
6 3 222 0.866
6 4 228 0.767
6 5 223 0.903
6 6 184 0.865
6 7 156 0.87
6 8 162 0.936
6 9 116 0.838
6 10 136 0.881
6 11 146 0.888
6 12 148 0.771
6 13 141 0.89
6 14 145 0.734
6 15 148 0.728
6 16 147 0.908
6 17 154 0.894
6 18 154 0.851
6 19 133 0.885
6 20 152 0.784
6 21 165 0.812
6 22 146 0.856
6 23 27 0.51
6 24 24 0.916
6 25 162 0.709
6 26 154 0.903
6 27 140 0.957
6 28 142 0.864
6 29 114 0.811
6 30 148 0.79
6 31 140 0.793
6 32 148 0.847
6 33 195 0.55
6 34 158 0.72
6 35 162 0.873
6 36 166 0.836
6 37 163 0.858
6 38 151 0.826
6 39 150 0.677
6 40 155 0.819
6 41 148 0.736
6 42 154 0.776
6 43 163 0.87
6 44 170 0.894
6 45 112 0.787
6 46 139 0.836
6 47 368 0.758
6 48 143 0.542
7 1 321 0.604
7 2 307 0.765
7 3 278 0.864
7 4 195 0.842
7 5 164 0.834
7 6 208 0.835
7 7 154 0.741
7 8 145 0.607
7 9 147 0.904
7 10 158 0.882
7 11 151 0.834
7 12 139 0.824
7 13 133 0.909
7 14 151 0.834
7 15 142 0.945
7 16 162 0.738
7 17 142 0.886
7 18 155 0.835
7 19 137 0.937
7 20 135 0.875
7 21 158 0.823
7 22 145 0.895
7 23 142 0.842
7 24 149 0.844
7 25 142 0.804
7 26 146 0.806
7 27 149 0.844
7 28 159 0.878
7 29 133 0.8
7 30 141 0.938
7 31 146 0.911
7 32 162 0.808
7 33 164 0.781
7 34 157 0.738
7 35 178 0.759
7 36 163 0.91
7 37 152 0.901
7 38 168 0.855
7 39 156 0.832
7 40 158 0.843
7 41 168 0.906
7 42 160 0.893
7 43 170 0.774
7 44 185 0.782
7 45 220 0.807
7 46 263 0.636
7 47 298 0.773
7 48 400 0.772
8 1 276 0.743
8 2 332 0.785
8 3 0 0.0
8 4 245 0.761
8 5 184 0.846
8 6 170 0.792
8 7 150 0.731
8 8 128 0.875
8 9 157 0.846
8 10 161 0.767
8 11 0 0.0
8 12 0 0.0
8 13 143 0.883
8 14 152 0.869
8 15 160 0.915
8 16 0 0.0
8 17 169 0.78
8 18 163 0.91
8 19 150 0.828
8 20 147 0.784
8 21 162 0.805
8 22 156 0.892
8 23 156 0.874
8 24 160 0.854
8 25 0 0.0
8 26 175 0.882
8 27 162 0.836
8 28 157 0.731
8 29 138 0.852
8 30 165 0.934
8 31 132 0.846
8 32 157 0.702
8 33 157 0.907
8 34 170 0.81
8 35 153 0.722
8 36 156 0.775
8 37 0 0.0
8 38 0 0.0
8 39 167 0.941
8 40 189 0.792
8 41 174 0.768
8 42 145 0.821
8 43 0 0.0
8 44 0 0.0
8 45 202 0.788
8 46 219 0.861
8 47 297 0.742
8 48 415 0.653
9 1 331 0.895
9 2 223 0.811
9 3 260 0.805
9 4 252 0.752
9 5 156 0.883
9 6 163 0.829
9 7 136 0.849
9 8 167 0.858
9 9 144 0.876
9 10 143 0.952
9 11 148 0.891
9 12 148 0.934
9 13 144 0.909
9 14 171 0.9
9 15 154 0.903
9 16 158 0.843
9 17 167 0.858
9 18 162 0.873
9 19 155 0.909
9 20 148 0.868
9 21 142 0.864
9 22 155 0.919
9 23 158 0.873
9 24 170 0.926
9 25 124 0.795
9 26 128 0.885
9 27 140 0.874
9 28 117 0.822
9 29 161 0.831
9 30 158 0.873
9 31 143 0.728
9 32 138 0.81
9 33 128 0.91
9 34 164 0.815
9 35 128 0.921
9 36 160 0.854
9 37 152 0.848
9 38 134 0.859
9 39 182 0.864
9 40 155 0.693
9 41 166 0.873
9 42 165 0.839
9 43 162 0.824
9 44 170 0.853
9 45 204 0.897
9 46 227 0.779
9 47 276 0.864
9 48 417 0.647
10 1 335 0.884
10 2 286 0.82
10 3 240 0.817
10 4 233 0.763
10 5 168 0.846
10 6 155 0.856
10 7 157 0.921
10 8 161 0.831
10 9 125 0.801
10 10 132 0.913
10 11 133 0.899
10 12 136 0.93
10 13 143 0.883
10 14 162 0.824
10 15 147 0.952
10 16 180 0.916
10 17 0 0.0
10 18 0 0.0
10 19 170 0.857
10 20 159 0.857
10 21 132 0.837
10 22 138 0.861
10 23 136 0.895
10 24 155 0.819
10 25 146 0.712
10 26 142 0.945
10 27 134 0.906
10 28 121 0.818
10 29 191 0.723
10 30 162 0.852
10 31 140 0.842
10 32 133 0.885
10 33 144 0.923
10 34 143 0.763
10 35 139 0.891
10 36 150 0.817
10 37 150 0.828
10 38 153 0.875
10 39 145 0.821
10 40 140 0.874
10 41 136 0.81
10 42 142 0.864
10 43 139 0.807
10 44 152 0.792
10 45 208 0.763
10 46 249 0.809
10 47 296 0.794
10 48 0 0.0
11 1 354 0.821
11 2 308 0.733
11 3 238 0.791
11 4 202 0.828
11 5 194 0.856
11 6 189 0.889
11 7 151 0.886
11 8 149 0.955
11 9 124 0.896
11 10 130 0.914
11 11 148 0.868
11 12 152 0.869
11 13 18 0.687
11 14 19 0.796
11 15 157 0.838
11 16 169 0.714
11 17 0 0.0
11 18 0 0.0
11 19 165 0.786
11 20 152 0.892
11 21 157 0.838
11 22 145 0.863
11 23 143 0.818
11 24 136 0.798
11 25 135 0.843
11 26 144 0.876
11 27 135 0.884
11 28 146 0.815
11 29 122 0.834
11 30 139 0.845
11 31 129 0.827
11 32 144 0.923
11 33 145 0.905
11 34 147 0.841
11 35 138 0.861
11 36 136 0.871
11 37 154 0.851
11 38 147 0.885
11 39 143 0.86
11 40 145 0.829
11 41 149 0.883
11 42 125 0.832
11 43 143 0.752
11 44 171 0.85
11 45 224 0.79
11 46 224 0.638
11 47 292 0.859
11 48 413 0.751
12 1 0 0.0
12 2 0 0.0
12 3 256 0.848
12 4 231 0.865
12 5 0 0.0
12 6 0 0.0
12 7 165 0.889
12 8 158 0.843
12 9 132 0.938
12 10 133 0.83
12 11 156 0.883
12 12 160 0.893
12 13 136 0.941
12 14 154 0.822
12 15 177 0.871
12 16 166 0.895
12 17 0 0.0
12 18 0 0.0
12 19 197 0.926
12 20 184 0.865
12 21 152 0.949
12 22 136 0.915
12 23 144 0.876
12 24 153 0.845
12 25 147 0.894
12 26 140 0.921
12 27 136 0.871
12 28 186 0.829
12 29 167 0.771
12 30 156 0.794
12 31 133 0.92
12 32 136 0.84
12 33 142 0.842
12 34 157 0.762
12 35 161 0.847
12 36 116 0.909
12 37 145 0.915
12 38 140 0.907
12 39 145 0.714
12 40 147 0.741
12 41 146 0.827
12 42 150 0.837
12 43 146 0.827
12 44 152 0.819
12 45 189 0.816
12 46 236 0.739
12 47 312 0.752
12 48 380 0.74
13 1 428 0.794
13 2 240 0.873
13 3 185 0.862
13 4 202 0.836
13 5 149 0.874
13 6 139 0.877
13 7 129 0.749
13 8 132 0.859
13 9 136 0.941
13 10 140 0.855
13 11 127 0.929
13 12 158 0.864
13 13 130 0.856
13 14 144 0.876
13 15 204 0.812
13 16 150 0.849
13 17 158 0.873
13 18 126 0.862
13 19 147 0.918
13 20 146 0.806
13 21 162 0.816
13 22 122 0.734
13 23 151 0.855
13 24 152 0.766
13 25 166 0.749
13 26 119 0.933
13 27 145 0.785
13 28 149 0.852
13 29 162 0.755
13 30 128 0.69
13 31 133 0.821
13 32 159 0.809
13 33 143 0.83
13 34 146 0.827
13 35 150 0.828
13 36 146 0.827
13 37 155 0.909
