row  column  size-1  circ-1
1 1 583 0.648
1 2 544 0.503
1 3 563 0.608
1 4 474 0.759
1 5 485 0.763
1 6 462 0.699
1 7 410 0.808
1 8 394 0.817
1 9 435 0.758
1 10 424 0.819
1 11 369 0.85
1 12 359 0.735
1 13 342 0.771
1 14 380 0.862
1 15 369 0.738
1 16 403 0.785
1 17 352 0.783
1 18 375 0.837
1 19 341 0.844
1 20 337 0.889
1 21 353 0.808
1 22 337 0.84
1 23 342 0.838
1 24 337 0.789
1 25 352 0.819
1 26 337 0.784
1 27 350 0.844
1 28 307 0.838
1 29 322 0.64
1 30 334 0.84
1 31 328 0.781
1 32 345 0.872
1 33 309 0.835
1 34 319 0.693
1 35 325 0.852
1 36 355 0.805
1 37 294 0.795
1 38 307 0.865
1 39 308 0.762
1 40 338 0.829
1 41 360 0.804
1 42 361 0.643
1 43 294 0.871
1 44 415 0.806
1 45 500 0.832
1 46 486 0.881
1 47 0 0.0
1 48 0 0.0
2 1 568 0.827
2 2 418 0.692
2 3 377 0.666
2 4 358 0.589
2 5 379 0.627
2 6 287 0.838
2 7 322 0.664
2 8 302 0.747
2 9 278 0.827
2 10 276 0.833
2 11 282 0.867
2 12 279 0.815
2 13 288 0.786
2 14 319 0.539
2 15 264 0.771
2 16 244 0.744
2 17 241 0.853
2 18 261 0.848
2 19 273 0.797
2 20 243 0.79
2 21 256 0.819
2 22 242 0.863
2 23 226 0.797
2 24 247 0.756
2 25 228 0.878
2 26 244 0.847
2 27 250 0.819
2 28 212 0.794
2 29 192 0.848
2 30 232 0.861
2 31 238 0.873
2 32 219 0.797
2 33 245 0.843
2 34 181 0.817
2 35 216 0.842
2 36 224 0.792
2 37 212 0.834
2 38 244 0.758
2 39 217 0.79
2 40 224 0.815
2 41 175 0.878
2 42 232 0.894
2 43 249 0.803
2 44 255 0.786
2 45 223 0.859
2 46 333 0.824
2 47 409 0.763
2 48 541 0.905
3 1 527 0.614
3 2 347 0.845
3 3 360 0.71
3 4 336 0.636
3 5 290 0.847
3 6 280 0.705
3 7 272 0.809
3 8 253 0.672
3 9 273 0.722
3 10 248 0.757
3 11 231 0.847
3 12 230 0.94
3 13 233 0.808
3 14 211 0.597
3 15 174 0.81
3 16 183 0.86
3 17 222 0.808
3 18 148 0.817
3 19 204 0.748
3 20 219 0.706
3 21 197 0.815
3 22 208 0.868
3 23 154 0.859
3 24 179 0.89
3 25 203 0.775
3 26 137 0.855
3 27 196 0.699
3 28 142 0.833
3 29 213 0.687
3 30 190 0.803
3 31 60 0.849
3 32 0 0.0
3 33 220 0.601
3 34 197 0.815
3 35 154 0.822
3 36 188 0.771
3 37 196 0.854
3 38 187 0.833
3 39 191 0.898
3 40 182 0.864
3 41 179 0.861
3 42 202 0.818
3 43 194 0.81
3 44 199 0.823
3 45 210 0.72
3 46 259 0.79
3 47 290 0.853
3 48 318 0.819
4 1 542 0.583
4 2 354 0.803
4 3 369 0.794
4 4 287 0.853
4 5 262 0.875
4 6 224 0.822
4 7 251 0.746
4 8 209 0.792
4 9 166 0.882
4 10 248 0.806
4 11 198 0.802
4 12 207 0.831
4 13 216 0.809
4 14 217 0.768
4 15 222 0.582
4 16 204 0.742
4 17 183 0.735
4 18 181 0.879
4 19 173 0.832
4 20 193 0.768
4 21 164 0.74
4 22 162 0.679
4 23 186 0.839
4 24 186 0.796
4 25 154 0.802
4 26 148 0.817
4 27 181 0.806
4 28 182 0.837
4 29 176 0.767
4 30 150 0.88
4 31 196 0.846
4 32 191 0.818
4 33 157 0.867
4 34 149 0.803
4 35 176 0.847
4 36 187 0.76
4 37 137 0.878
4 38 153 0.897
4 39 158 0.882
4 40 160 0.893
4 41 168 0.884
4 42 175 0.823
4 43 153 0.697
4 44 185 0.89
4 45 186 0.779
4 46 214 0.801
4 47 283 0.848
4 48 281 0.835
5 1 460 0.533
5 2 371 0.457
5 3 349 0.864
5 4 278 0.848
5 5 240 0.774
5 6 239 0.87
5 7 237 0.779
5 8 229 0.833
5 9 229 0.773
5 10 196 0.881
5 11 225 0.704
5 12 207 0.791
5 13 205 0.666
5 14 213 0.766
5 15 191 0.825
5 16 200 0.787
5 17 175 0.842
5 18 194 0.845
5 19 165 0.831
5 20 165 0.794
5 21 155 0.781
5 22 154 0.822
5 23 137 0.784
5 24 165 0.889
5 25 162 0.917
5 26 151 0.758
5 27 167 0.671
5 28 179 0.815
5 29 156 0.68
5 30 148 0.746
5 31 157 0.826
5 32 159 0.666
5 33 159 0.727
5 34 142 0.747
5 35 154 0.842
5 36 24 0.453
5 37 157 0.829
5 38 157 0.818
5 39 150 0.912
5 40 144 0.933
5 41 152 0.803
5 42 154 0.851
5 43 149 0.874
5 44 120 0.79
5 45 162 0.836
5 46 156 0.813
5 47 277 0.83
5 48 308 0.773
6 1 490 0.573
6 2 343 0.455
6 3 307 0.539
6 4 279 0.795
6 5 257 0.658
6 6 264 0.726
6 7 213 0.781
6 8 221 0.797
6 9 229 0.706
6 10 209 0.808
6 11 202 0.861
6 12 191 0.878
6 13 191 0.807
6 14 185 0.701
6 15 199 0.859
6 16 207 0.778
6 17 169 0.898
6 18 177 0.764
6 19 148 0.859
6 20 178 0.648
6 21 160 0.706
6 22 162 0.738
6 23 160 0.862
6 24 147 0.885
6 25 157 0.846
6 26 154 0.791
6 27 136 0.881
6 28 160 0.884
6 29 142 0.715
6 30 171 0.887
6 31 141 0.819
6 32 150 0.858
6 33 132 0.794
6 34 159 0.91
6 35 145 0.813
6 36 148 0.859
6 37 125 0.733
6 38 147 0.82
6 39 141 0.763
6 40 145 0.782
6 41 166 0.895
6 42 110 0.716
6 43 150 0.809
6 44 180 0.784
6 45 36 0.857
6 46 180 0.82
6 47 204 0.889
6 48 289 0.789
7 1 470 0.635
7 2 261 0.666
7 3 305 0.716
7 4 259 0.805
7 5 260 0.802
7 6 243 0.749
7 7 182 0.786
7 8 219 0.766
7 9 201 0.684
7 10 230 0.684
7 11 195 0.79
7 12 190 0.686
7 13 193 0.71
7 14 198 0.663
7 15 192 0.855
7 16 178 0.864
7 17 150 0.809
7 18 161 0.803
7 19 173 0.824
7 20 190 0.803
7 21 161 0.819
7 22 154 0.717
7 23 124 0.825
7 24 124 0.838
7 25 143 0.771
7 26 163 0.784
7 27 132 0.806
7 28 177 0.901
7 29 146 0.827
7 30 154 0.758
7 31 133 0.909
7 32 142 0.765
7 33 152 0.781
7 34 144 0.845
7 35 129 0.688
7 36 135 0.865
7 37 134 0.859
7 38 130 0.865
7 39 126 0.766
7 40 142 0.758
7 41 153 0.805
7 42 147 0.748
7 43 143 0.738
7 44 139 0.858
7 45 176 0.847
7 46 195 0.85
7 47 207 0.831
7 48 220 0.817
8 1 448 0.525
8 2 368 0.586
8 3 294 0.745
8 4 283 0.529
8 5 266 0.783
8 6 223 0.783
8 7 161 0.674
8 8 199 0.792
8 9 175 0.709
8 10 208 0.727
8 11 194 0.796
8 12 176 0.777
8 13 182 0.746
8 14 185 0.701
8 15 180 0.784
8 16 155 0.847
8 17 168 0.772
8 18 171 0.823
8 19 162 0.797
8 20 155 0.756
8 21 142 0.842
8 22 143 0.839
8 23 147 0.792
8 24 105 0.799
8 25 144 0.845
8 26 128 0.667
8 27 136 0.726
8 28 153 0.857
8 29 156 0.892
8 30 147 0.766
8 31 149 0.679
8 32 147 0.726
8 33 137 0.888
8 34 128 0.77
8 35 135 0.865
8 36 136 0.858
8 37 143 0.626
8 38 126 0.758
8 39 143 0.86
8 40 0 0.0
8 41 133 0.852
8 42 128 0.751
8 43 168 0.855
8 44 161 0.921
8 45 140 0.874
8 46 161 0.819
8 47 240 0.88
8 48 251 0.741
9 1 501 0.486
9 2 350 0.458
9 3 281 0.673
9 4 251 0.801
9 5 233 0.647
9 6 238 0.747
9 7 231 0.723
9 8 180 0.761
9 9 189 0.834
9 10 173 0.84
9 11 189 0.824
9 12 166 0.809
9 13 187 0.738
9 14 172 0.801
9 15 167 0.838
9 16 155 0.878
9 17 186 0.829
9 18 150 0.809
9 19 161 0.839
9 20 151 0.761
9 21 139 0.824
9 22 154 0.802
9 23 124 0.872
9 24 102 0.705
9 25 124 0.882
9 26 129 0.797
9 27 142 0.854
9 28 141 0.596
9 29 129 0.738
9 30 142 0.864
9 31 142 0.804
9 32 105 0.848
9 33 143 0.86
9 34 132 0.855
9 35 104 0.865
9 36 117 0.779
9 37 122 0.857
9 38 120 0.781
9 39 126 0.696
9 40 132 0.774
9 41 126 0.778
9 42 127 0.868
9 43 135 0.898
9 44 127 0.836
9 45 152 0.861
9 46 176 0.926
9 47 232 0.818
9 48 267 0.729
10 1 471 0.537
10 2 388 0.587
10 3 244 0.787
10 4 259 0.679
10 5 245 0.881
10 6 212 0.721
10 7 210 0.672
10 8 216 0.894
10 9 202 0.788
10 10 171 0.879
10 11 161 0.898
10 12 159 0.79
10 13 163 0.829
10 14 186 0.666
10 15 153 0.837
10 16 142 0.92
10 17 167 0.87
10 18 154 0.776
10 19 151 0.864
10 20 125 0.801
10 21 153 0.866
10 22 152 0.892
10 23 146 0.75
10 24 133 0.862
10 25 132 0.878
10 26 122 0.834
10 27 136 0.881
10 28 145 0.895
10 29 132 0.878
10 30 122 0.903
10 31 136 0.81
10 32 155 0.887
10 33 128 0.79
10 34 126 0.896
10 35 131 0.809
10 36 100 0.807
10 37 139 0.858
10 38 131 0.872
10 39 139 0.836
10 40 134 0.859
10 41 146 0.911
10 42 116 0.825
10 43 134 0.916
10 44 155 0.835
10 45 146 0.888
10 46 166 0.865
10 47 205 0.83
10 48 237 0.869
11 1 481 0.46
11 2 355 0.564
11 3 311 0.823
11 4 271 0.71
11 5 215 0.776
11 6 227 0.752
11 7 219 0.588
11 8 196 0.821
11 9 178 0.793
11 10 181 0.775
11 11 218 0.778
11 12 191 0.709
11 13 140 0.821
11 14 173 0.86
11 15 149 0.883
11 16 176 0.737
11 17 145 0.782
11 18 146 0.761
11 19 173 0.86
11 20 120 0.663
11 21 159 0.741
11 22 159 0.783
11 23 125 0.879
11 24 118 0.888
11 25 134 0.827
11 26 129 0.827
11 27 127 0.845
11 28 107 0.853
11 29 137 0.846
11 30 135 0.898
11 31 88 0.71
11 32 107 0.743
11 33 144 0.845
11 34 143 0.893
11 35 127 0.868
11 36 107 0.773
11 37 115 0.658
11 38 112 0.878
11 39 150 0.961
11 40 113 0.912
11 41 133 0.885
11 42 141 0.819
11 43 145 0.774
11 44 135 0.812
11 45 161 0.889
11 46 171 0.842
11 47 219 0.766
11 48 278 0.835
12 1 444 0.443
12 2 338 0.701
12 3 287 0.688
12 4 244 0.764
12 5 253 0.708
12 6 204 0.653
12 7 118 0.729
12 8 113 0.773
12 9 200 0.864
12 10 201 0.79
12 11 177 0.832
12 12 156 0.892
12 13 172 0.766
12 14 175 0.87
12 15 150 0.858
12 16 159 0.718
12 17 145 0.895
12 18 160 0.806
12 19 139 0.891
12 20 129 0.882
12 21 136 0.798
12 22 148 0.9
12 23 113 0.705
12 24 120 0.811
12 25 126 0.875
12 26 137 0.833
12 27 111 0.896
12 28 120 0.877
12 29 143 0.879
12 30 148 0.817
12 31 141 0.827
12 32 150 0.871
12 33 146 0.897
12 34 125 0.879
12 35 140 0.874
12 36 123 0.809
12 37 126 0.807
12 38 123 0.771
12 39 104 0.944
12 40 111 0.918
12 41 154 0.851
12 42 150 0.858
12 43 123 0.936
12 44 107 0.901
12 45 137 0.902
12 46 35 0.755
12 47 207 0.875
12 48 284 0.86
13 1 380 0.719
13 2 264 0.799
13 3 286 0.653
13 4 190 0.717
13 5 219 0.766
13 6 207 0.65
13 7 191 0.84
13 8 196 0.821
13 9 157 0.838
13 10 148 0.924
13 11 167 0.814
13 12 175 0.78
13 13 143 0.763
13 14 164 0.771
13 15 159 0.652
13 16 134 0.767
13 17 160 0.722
13 18 120 0.877
13 19 144 0.854
13 20 139 0.891
13 21 126 0.862
13 22 161 0.727
13 23 101 0.805
13 24 144 0.845
13 25 143 0.893
13 26 107 0.917
13 27 121 0.796
13 28 112 0.766
13 29 140 0.874
13 30 128 0.77
13 31 129 0.73
13 32 125 0.855
13 33 132 0.828
13 34 143 0.926
13 35 163 0.821
13 36 104 0.876
13 37 127 0.801
13 38 121 0.767
13 39 113 0.826
13 40 132 0.833
13 41 125 0.914
13 42 127 0.784
13 43 96 0.86
13 44 153 0.813
13 45 134 0.868
13 46 184 0.795
13 47 232 0.894
13 48 265 0.83
14 1 434 0.621
14 2 287 0.86
14 3 276 0.628
14 4 253 0.78
14 5 237 0.71
14 6 237 0.779
14 7 174 0.829
14 8 195 0.824
14 9 173 0.832
14 10 159 0.809
14 11 161 0.774
14 12 158 0.753
14 13 175 0.89
14 14 156 0.902
14 15 172 0.801
14 16 167 0.85
14 17 139 0.877
14 18 162 0.748
14 19 149 0.831
14 20 149 0.844
14 21 0 0.0
14 22 130 0.935
14 23 136 0.806
14 24 164 0.893
14 25 159 0.718
14 26 58 0.868
14 27 108 0.812
14 28 144 0.845
14 29 120 0.704
14 30 93 0.833
14 31 101 0.84
14 32 94 0.853
14 33 115 0.729
14 34 129 0.768
14 35 155 0.835
14 36 126 0.829
14 37 104 0.752
14 38 133 0.8
14 39 124 0.882
14 40 120 0.853
14 41 131 0.809
14 42 95 0.89
14 43 122 0.782
14 44 122 0.834
14 45 148 0.891
14 46 186 0.829
14 47 214 0.842
14 48 285 0.784
15 1 420 0.621
15 2 313 0.773
15 3 316 0.834
15 4 250 0.841
15 5 243 0.79
15 6 216 0.802
15 7 203 0.775
15 8 167 0.87
15 9 167 0.778
15 10 183 0.705
15 11 160 0.814
15 12 163 0.663
15 13 167 0.721
15 14 139 0.824
15 15 139 0.836
15 16 158 0.852
15 17 156 0.682
15 18 140 0.887
15 19 133 0.742
15 20 136 0.789
15 21 157 0.807
15 22 141 0.827
15 23 160 0.842
15 24 143 0.86
15 25 128 0.7
15 26 134 0.827
15 27 145 0.929
15 28 136 0.871
15 29 152 0.901
15 30 130 0.774
15 31 142 0.824
15 32 143 0.87
15 33 129 0.749
15 34 96 0.765
15 35 112 0.787
15 36 129 0.907
15 37 115 0.729
15 38 120 0.821
15 39 120 0.925
15 40 116 0.784
15 41 128 0.875
15 42 150 0.858
15 43 135 0.875
15 44 124 0.709
15 45 146 0.888
15 46 188 0.934
15 47 207 0.883
15 48 301 0.842
16 1 452 0.719
16 2 268 0.797
16 3 42 0.594
16 4 63 0.718
16 5 263 0.848
16 6 255 0.772
16 7 175 0.661
16 8 175 0.912
16 9 187 0.852
16 10 216 0.715
16 11 146 0.827
16 12 178 0.793
16 13 144 0.857
16 14 170 0.903
16 15 123 0.841
16 16 139 0.815
16 17 146 0.719
16 18 150 0.889
16 19 150 0.781
16 20 145 0.755
16 21 129 0.705
16 22 136 0.827
16 23 143 0.756
16 24 147 0.862
16 25 147 0.766
16 26 138 0.944
16 27 135 0.888
16 28 119 0.754
16 29 132 0.824
16 30 141 0.836
16 31 151 0.873
16 32 116 0.909
16 33 150 0.912
16 34 127 0.868
16 35 129 0.892
16 36 128 0.82
16 37 126 0.896
16 38 126 0.886
16 39 104 0.915
16 40 109 0.88
16 41 126 0.731
16 42 126 0.799
16 43 110 0.764
16 44 134 0.77
16 45 140 0.851
16 46 165 0.86
16 47 240 0.833
16 48 220 0.873
17 1 381 0.683
17 2 326 0.763
17 3 301 0.8
17 4 258 0.735
17 5 242 0.833
17 6 196 0.821
17 7 189 0.752
17 8 234 0.595
17 9 183 0.729
17 10 174 0.865
17 11 161 0.868
17 12 175 0.772
17 13 163 0.9
17 14 146 0.835
17 15 145 0.766
17 16 162 0.864
17 17 155 0.878
17 18 134 0.892
17 19 118 0.777
17 20 147 0.748
17 21 137 0.749
17 22 156 0.775
17 23 169 0.832
17 24 120 0.749
17 25 146 0.856
17 26 138 0.861
17 27 146 0.827
17 28 114 0.801
17 29 126 0.862
17 30 135 0.728
17 31 139 0.845
17 32 131 0.921
17 33 140 0.907
17 34 122 0.698
17 35 119 0.895
17 36 138 0.781
17 37 118 0.853
17 38 123 0.91
17 39 132 0.869
17 40 132 0.766
17 41 127 0.631
17 42 130 0.677
17 43 122 0.929
17 44 146 0.879
17 45 130 0.865
17 46 141 0.858
17 47 232 0.805
17 48 314 0.828
18 1 401 0.786
18 2 329 0.834
18 3 242 0.88
18 4 249 0.727
18 5 266 0.805
18 6 232 0.715
18 7 179 0.773
18 8 214 0.834
18 9 203 0.747
18 10 155 0.739
