row  column  size-1  circ-1
1 1 440 0.832
1 2 388 0.842
1 3 385 0.766
1 4 538 0.66
1 5 328 0.781
1 6 354 0.775
1 7 386 0.803
1 8 366 0.825
1 9 333 0.729
1 10 366 0.807
1 11 329 0.753
1 12 345 0.826
1 13 260 0.868
1 14 124 0.907
1 15 328 0.839
1 16 325 0.864
1 17 267 0.794
1 18 259 0.732
1 19 295 0.861
1 20 308 0.793
1 21 311 0.723
1 22 304 0.866
1 23 319 0.808
1 24 299 0.843
1 25 311 0.855
1 26 301 0.789
1 27 307 0.77
1 28 324 0.646
1 29 245 0.761
1 30 312 0.873
1 31 295 0.805
1 32 266 0.864
1 33 313 0.84
1 34 356 0.785
1 35 41 0.948
1 36 307 0.824
1 37 316 0.828
1 38 297 0.852
1 39 292 0.875
1 40 296 0.814
1 41 305 0.891
1 42 300 0.817
1 43 371 0.869
1 44 466 0.737
1 45 334 0.838
1 46 489 0.769
1 47 547 0.655
1 48 560 0.826
2 1 333 0.838
2 2 320 0.824
2 3 282 0.845
2 4 304 0.851
2 5 291 0.888
2 6 279 0.815
2 7 238 0.81
2 8 264 0.746
2 9 267 0.845
2 10 246 0.75
2 11 240 0.856
2 12 279 0.666
2 13 267 0.808
2 14 273 0.791
2 15 262 0.698
2 16 301 0.705
2 17 241 0.798
2 18 256 0.711
2 19 283 0.747
2 20 219 0.766
2 21 242 0.786
2 22 244 0.863
2 23 228 0.846
2 24 232 0.734
2 25 234 0.721
2 26 215 0.602
2 27 238 0.773
2 28 196 0.893
2 29 245 0.71
2 30 233 0.865
2 31 230 0.756
2 32 211 0.707
2 33 167 0.761
2 34 211 0.865
2 35 234 0.769
2 36 250 0.874
2 37 232 0.783
2 38 318 0.839
2 39 228 0.741
2 40 303 0.783
2 41 291 0.795
2 42 255 0.813
2 43 272 0.794
2 44 298 0.855
2 45 328 0.662
2 46 325 0.852
2 47 411 0.638
2 48 493 0.889
3 1 346 0.768
3 2 292 0.789
3 3 290 0.76
3 4 260 0.845
3 5 231 0.795
3 6 207 0.724
3 7 216 0.86
3 8 200 0.899
3 9 156 0.758
3 10 232 0.861
3 11 201 0.761
3 12 218 0.84
3 13 18 0.895
3 14 0 0.0
3 15 200 0.742
3 16 222 0.546
3 17 200 0.813
3 18 191 0.616
3 19 223 0.835
3 20 193 0.768
3 21 174 0.894
3 22 198 0.779
3 23 191 0.776
3 24 200 0.827
3 25 190 0.779
3 26 182 0.762
3 27 184 0.697
3 28 201 0.777
3 29 190 0.741
3 30 179 0.834
3 31 188 0.856
3 32 200 0.767
3 33 190 0.893
3 34 196 0.828
3 35 146 0.787
3 36 118 0.807
3 37 215 0.754
3 38 186 0.756
3 39 177 0.824
3 40 209 0.692
3 41 186 0.847
3 42 192 0.749
3 43 240 0.856
3 44 207 0.807
3 45 248 0.689
3 46 282 0.631
3 47 325 0.81
3 48 400 0.709
4 1 406 0.696
4 2 332 0.808
4 3 273 0.71
4 4 287 0.479
4 5 219 0.781
4 6 203 0.801
4 7 220 0.696
4 8 212 0.896
4 9 195 0.8
4 10 202 0.828
4 11 178 0.709
4 12 219 0.624
4 13 201 0.876
4 14 219 0.83
4 15 172 0.783
4 16 167 0.62
4 17 184 0.748
4 18 191 0.859
4 19 142 0.699
4 20 165 0.804
4 21 156 0.805
4 22 170 0.734
4 23 177 0.88
4 24 171 0.879
4 25 135 0.792
4 26 160 0.871
4 27 165 0.889
4 28 153 0.789
4 29 148 0.798
4 30 147 0.862
4 31 155 0.756
4 32 155 0.678
4 33 174 0.81
4 34 158 0.815
4 35 180 0.729
4 36 167 0.85
4 37 186 0.895
4 38 180 0.895
4 39 144 0.867
4 40 135 0.875
4 41 167 0.778
4 42 151 0.826
4 43 208 0.795
4 44 186 0.803
4 45 240 0.823
4 46 263 0.782
4 47 295 0.695
4 48 462 0.779
5 1 420 0.65
5 2 354 0.607
5 3 300 0.698
5 4 250 0.835
5 5 202 0.88
5 6 204 0.764
5 7 191 0.681
5 8 188 0.856
5 9 192 0.699
5 10 172 0.699
5 11 178 0.876
5 12 196 0.734
5 13 162 0.852
5 14 166 0.733
5 15 165 0.597
5 16 203 0.85
5 17 148 0.934
5 18 185 0.85
5 19 159 0.696
5 20 159 0.878
5 21 160 0.706
5 22 139 0.836
5 23 141 0.88
5 24 157 0.715
5 25 148 0.809
5 26 156 0.786
5 27 167 0.7
5 28 138 0.822
5 29 125 0.596
5 30 152 0.803
5 31 171 0.789
5 32 135 0.738
5 33 163 0.841
5 34 147 0.7
5 35 176 0.82
5 36 160 0.884
5 37 160 0.871
5 38 156 0.892
5 39 134 0.859
5 40 162 0.805
5 41 162 0.824
5 42 163 0.829
5 43 223 0.838
5 44 174 0.81
5 45 178 0.779
5 46 258 0.817
5 47 315 0.566
5 48 458 0.783
6 1 411 0.435
6 2 293 0.76
6 3 259 0.811
6 4 265 0.839
6 5 221 0.746
6 6 217 0.917
6 7 204 0.713
6 8 183 0.783
6 9 175 0.797
6 10 178 0.837
6 11 163 0.752
6 12 178 0.709
6 13 188 0.837
6 14 181 0.714
6 15 167 0.862
6 16 165 0.761
6 17 145 0.809
6 18 159 0.633
6 19 123 0.722
6 20 159 0.734
6 21 118 0.785
6 22 157 0.709
6 23 145 0.648
6 24 138 0.573
6 25 151 0.834
6 26 146 0.743
6 27 157 0.741
6 28 148 0.628
6 29 127 0.756
6 30 142 0.769
6 31 135 0.68
6 32 135 0.703
6 33 140 0.813
6 34 142 0.765
6 35 165 0.889
6 36 155 0.789
6 37 139 0.7
6 38 160 0.884
6 39 199 0.776
6 40 126 0.921
6 41 154 0.717
6 42 138 0.585
6 43 188 0.83
6 44 163 0.879
6 45 196 0.797
6 46 221 0.862
6 47 315 0.71
6 48 465 0.67
7 1 353 0.612
7 2 282 0.739
7 3 270 0.628
7 4 269 0.729
7 5 245 0.802
7 6 203 0.785
7 7 188 0.788
7 8 208 0.801
7 9 180 0.874
7 10 195 0.634
7 11 175 0.815
7 12 159 0.878
7 13 172 0.685
7 14 198 0.844
7 15 139 0.795
7 16 156 0.727
7 17 161 0.831
7 18 173 0.832
7 19 160 0.755
7 20 159 0.878
7 21 142 0.804
7 22 136 0.881
7 23 154 0.734
7 24 163 0.813
7 25 149 0.844
7 26 150 0.756
7 27 111 0.759
7 28 130 0.718
7 29 148 0.771
7 30 155 0.847
7 31 145 0.851
7 32 131 0.896
7 33 155 0.827
7 34 139 0.877
7 35 143 0.738
7 36 148 0.782
7 37 166 0.825
7 38 212 0.721
7 39 175 0.639
7 40 175 0.823
7 41 193 0.762
7 42 184 0.616
7 43 145 0.669
7 44 165 0.776
7 45 182 0.684
7 46 230 0.565
7 47 289 0.71
7 48 462 0.69
8 1 296 0.693
8 2 228 0.608
8 3 287 0.784
8 4 217 0.762
8 5 179 0.861
8 6 218 0.833
8 7 181 0.843
8 8 159 0.91
8 9 197 0.825
8 10 170 0.76
8 11 150 0.683
8 12 160 0.745
8 13 198 0.837
8 14 155 0.715
8 15 198 0.684
8 16 159 0.715
8 17 146 0.888
8 18 174 0.81
8 19 163 0.829
8 20 157 0.773
8 21 162 0.882
8 22 148 0.91
8 23 145 0.821
8 24 137 0.618
8 25 133 0.862
8 26 152 0.758
8 27 135 0.784
8 28 140 0.813
8 29 162 0.738
8 30 162 0.79
8 31 135 0.764
8 32 140 0.834
8 33 157 0.867
8 34 132 0.596
8 35 148 0.722
8 36 164 0.863
8 37 153 0.661
8 38 168 0.816
8 39 0 0.0
8 40 0 0.0
8 41 177 0.901
8 42 163 0.759
8 43 177 0.748
8 44 157 0.791
8 45 175 0.711
8 46 269 0.655
8 47 280 0.721
8 48 430 0.698
9 1 349 0.726
9 2 284 0.739
9 3 300 0.792
9 4 243 0.769
9 5 202 0.664
9 6 198 0.788
9 7 176 0.747
9 8 181 0.843
9 9 175 0.89
9 10 175 0.711
9 11 228 0.878
9 12 168 0.846
9 13 164 0.915
9 14 182 0.619
