row  column  size-1  circ-1
1 1 336 0.688
1 2 357 0.807
1 3 393 0.67
1 4 370 0.816
1 5 391 0.734
1 6 394 0.745
1 7 331 0.734
1 8 356 0.693
1 9 329 0.848
1 10 410 0.863
1 11 290 0.869
1 12 307 0.853
1 13 251 0.878
1 14 346 0.877
1 15 324 0.882
1 16 304 0.791
1 17 341 0.879
1 18 256 0.81
1 19 285 0.729
1 20 244 0.817
1 21 324 0.827
1 22 282 0.803
1 23 251 0.816
1 24 245 0.917
1 25 219 0.844
1 26 223 0.789
1 27 253 0.861
1 28 270 0.839
1 29 278 0.759
1 30 319 0.906
1 31 0 0.0
1 32 66 0.66
1 33 264 0.865
1 34 256 0.871
1 35 339 0.799
1 36 360 0.882
1 37 271 0.777
1 38 341 0.752
1 39 376 0.872
1 40 349 0.758
1 41 340 0.856
1 42 389 0.85
1 43 413 0.716
1 44 404 0.81
1 45 455 0.778
1 46 486 0.575
1 47 532 0.543
1 48 377 0.57
2 1 291 0.605
2 2 262 0.698
2 3 325 0.788
2 4 308 0.841
2 5 274 0.809
2 6 297 0.858
2 7 256 0.871
2 8 258 0.817
2 9 276 0.746
2 10 277 0.883
2 11 247 0.753
2 12 262 0.799
2 13 265 0.878
2 14 242 0.677
2 15 265 0.861
2 16 300 0.861
2 17 241 0.843
2 18 272 0.767
2 19 326 0.852
2 20 231 0.824
2 21 265 0.832
2 22 257 0.798
2 23 247 0.874
2 24 254 0.864
2 25 258 0.823
2 26 255 0.885
2 27 202 0.861
2 28 184 0.865
2 29 330 0.836
2 30 308 0.762
2 31 273 0.806
2 32 256 0.848
2 33 256 0.855
2 34 259 0.842
2 35 263 0.839
2 36 216 0.802
2 37 199 0.745
2 38 210 0.755
2 39 259 0.858
2 40 247 0.857
2 41 250 0.844
2 42 297 0.778
2 43 303 0.519
2 44 308 0.75
2 45 320 0.503
2 46 385 0.854
2 47 390 0.552
2 48 451 0.687
3 1 355 0.818
3 2 310 0.738
3 3 280 0.824
3 4 262 0.851
3 5 251 0.76
3 6 232 0.742
3 7 306 0.745
3 8 228 0.889
3 9 214 0.788
3 10 231 0.817
3 11 233 0.772
3 12 242 0.87
3 13 229 0.794
3 14 220 0.823
3 15 234 0.796
3 16 226 0.748
3 17 164 0.724
3 18 167 0.744
3 19 192 0.883
3 20 209 0.839
3 21 230 0.736
3 22 63 0.858
3 23 256 0.795
3 24 238 0.794
3 25 243 0.781
3 26 252 0.835
3 27 0 0.0
3 28 0 0.0
3 29 282 0.809
3 30 257 0.851
3 31 221 0.862
3 32 267 0.76
3 33 197 0.815
3 34 224 0.683
3 35 243 0.843
3 36 219 0.861
3 37 245 0.747
3 38 253 0.822
3 39 215 0.748
3 40 249 0.831
3 41 259 0.881
3 42 249 0.722
3 43 268 0.826
3 44 264 0.82
3 45 309 0.772
3 46 312 0.688
3 47 300 0.786
3 48 367 0.79
4 1 443 0.617
4 2 349 0.612
4 3 294 0.789
4 4 276 0.739
4 5 0 0.0
4 6 144 0.726
4 7 230 0.886
4 8 217 0.846
4 9 180 0.838
4 10 195 0.817
4 11 252 0.835
4 12 202 0.821
4 13 220 0.876
4 14 223 0.87
4 15 208 0.785
4 16 194 0.884
4 17 144 0.686
4 18 183 0.88
4 19 221 0.713
4 20 225 0.825
4 21 117 0.846
4 22 179 0.815
4 23 226 0.784
4 24 224 0.792
4 25 154 0.81
4 26 183 0.79
4 27 205 0.74
4 28 214 0.904
4 29 237 0.705
4 30 253 0.766
4 31 0 0.0
4 32 0 0.0
4 33 234 0.835
4 34 211 0.83
4 35 219 0.837
4 36 216 0.809
4 37 0 0.0
4 38 0 0.0
4 39 244 0.655
4 40 233 0.831
4 41 177 0.86
4 42 170 0.916
4 43 252 0.813
4 44 268 0.839
4 45 199 0.754
4 46 199 0.936
4 47 323 0.818
4 48 386 0.808
5 1 348 0.576
5 2 300 0.784
5 3 254 0.694
5 4 248 0.624
5 5 287 0.674
5 6 226 0.822
5 7 234 0.735
5 8 234 0.796
5 9 202 0.797
5 10 215 0.871
5 11 186 0.875
5 12 208 0.788
5 13 200 0.764
5 14 193 0.871
5 15 188 0.606
5 16 195 0.666
5 17 189 0.598
5 18 197 0.859
5 19 233 0.732
5 20 219 0.624
5 21 197 0.676
5 22 190 0.772
5 23 225 0.812
5 24 190 0.636
5 25 196 0.764
5 26 197 0.825
5 27 192 0.804
5 28 199 0.783
5 29 206 0.771
5 30 205 0.841
5 31 213 0.797
5 32 194 0.7
5 33 154 0.927
5 34 173 0.852
5 35 205 0.692
5 36 203 0.724
5 37 231 0.759
5 38 225 0.745
5 39 161 0.868
5 40 151 0.864
5 41 243 0.784
5 42 224 0.831
5 43 250 0.841
5 44 257 0.835
5 45 227 0.833
5 46 299 0.603
5 47 354 0.803
5 48 466 0.651
6 1 412 0.678
6 2 313 0.512
6 3 268 0.811
6 4 256 0.694
6 5 249 0.74
6 6 227 0.788
6 7 223 0.811
6 8 205 0.574
6 9 190 0.735
6 10 193 0.809
6 11 191 0.87
6 12 210 0.709
6 13 201 0.817
6 14 183 0.72
6 15 195 0.646
6 16 183 0.75
6 17 176 0.744
6 18 205 0.783
6 19 164 0.826
6 20 204 0.689
6 21 185 0.782
6 22 171 0.769
6 23 0 0.0
6 24 16 0.772
6 25 171 0.823
6 26 206 0.75
6 27 199 0.769
6 28 196 0.749
6 29 153 0.69
6 30 167 0.754
6 31 178 0.885
6 32 185 0.681
6 33 217 0.774
6 34 170 0.829
6 35 196 0.831
6 36 196 0.701
6 37 198 0.837
6 38 192 0.829
6 39 187 0.825
6 40 198 0.855
6 41 188 0.712
6 42 199 0.816
6 43 219 0.781
6 44 182 0.811
6 45 79 0.764
6 46 169 0.851
6 47 341 0.703
6 48 0 0.0
7 1 349 0.597
7 2 331 0.819
7 3 292 0.718
7 4 255 0.739
7 5 203 0.754
7 6 198 0.756
7 7 210 0.802
7 8 197 0.768
7 9 195 0.842
7 10 206 0.787
7 11 189 0.759
7 12 225 0.712
7 13 196 0.828
7 14 213 0.76
7 15 187 0.621
7 16 187 0.852
7 17 185 0.817
7 18 130 0.856
7 19 194 0.849
7 20 170 0.845
7 21 191 0.709
7 22 197 0.723
7 23 183 0.735
7 24 194 0.789
7 25 200 0.751
7 26 211 0.865
7 27 227 0.505
7 28 186 0.671
7 29 160 0.664
7 30 190 0.846
7 31 178 0.762
7 32 150 0.656
7 33 206 0.878
7 34 216 0.849
7 35 189 0.816
7 36 205 0.674
7 37 207 0.791
7 38 210 0.78
7 39 210 0.78
7 40 194 0.872
7 41 219 0.619
7 42 210 0.786
7 43 220 0.684
7 44 240 0.746
7 45 273 0.751
7 46 325 0.81
7 47 337 0.797
7 48 339 0.54
8 1 348 0.645
8 2 247 0.503
8 3 0 0.0
8 4 282 0.744
8 5 292 0.718
8 6 231 0.765
8 7 226 0.763
8 8 222 0.841
8 9 234 0.733
8 10 219 0.754
8 11 0 0.0
8 12 0 0.0
8 13 204 0.826
8 14 202 0.788
8 15 143 0.86
8 16 0 0.0
8 17 188 0.788
8 18 191 0.87
8 19 216 0.849
8 20 200 0.872
8 21 200 0.838
8 22 202 0.772
8 23 197 0.801
8 24 195 0.896
8 25 0 0.0
8 26 156 0.853
8 27 208 0.744
8 28 188 0.778
8 29 188 0.692
8 30 203 0.704
8 31 188 0.742
8 32 187 0.808
8 33 192 0.758
8 34 188 0.771
8 35 195 0.76
8 36 224 0.734
8 37 0 0.0
8 38 0 0.0
8 39 198 0.765
8 40 208 0.722
8 41 231 0.84
8 42 231 0.847
8 43 0 0.0
8 44 0 0.0
8 45 256 0.801
8 46 301 0.848
8 47 362 0.624
8 48 376 0.728
9 1 354 0.805
9 2 303 0.654
9 3 298 0.716
9 4 259 0.743
9 5 248 0.797
9 6 235 0.831
9 7 237 0.855
9 8 302 0.765
9 9 210 0.743
9 10 208 0.906
9 11 200 0.708
9 12 206 0.827
9 13 165 0.794
9 14 215 0.714
9 15 204 0.844
9 16 213 0.821
9 17 237 0.794
9 18 238 0.81
9 19 184 0.778
9 20 206 0.682
9 21 200 0.845
9 22 187 0.8
9 23 206 0.871
9 24 196 0.719
9 25 147 0.792
9 26 196 0.901
9 27 202 0.828
9 28 174 0.714
9 29 186 0.866
9 30 174 0.72
9 31 162 0.779
9 32 173 0.788
9 33 178 0.845
9 34 202 0.715
9 35 189 0.752
9 36 221 0.761
9 37 195 0.861
9 38 215 0.754
9 39 199 0.739
9 40 232 0.697
9 41 169 0.499
9 42 233 0.778
9 43 255 0.772
9 44 236 0.702
9 45 311 0.821
9 46 282 0.876
9 47 334 0.802
9 48 341 0.793
10 1 323 0.59
10 2 310 0.75
10 3 273 0.631
10 4 236 0.782
10 5 218 0.894
10 6 240 0.746
10 7 200 0.853
10 8 230 0.452
10 9 202 0.75
10 10 196 0.662
10 11 196 0.742
10 12 204 0.722
10 13 194 0.796
10 14 208 0.55
10 15 178 0.829
10 16 198 0.726
10 17 0 0.0
10 18 0 0.0
10 19 205 0.79
10 20 200 0.755
10 21 175 0.74
10 22 174 0.693
10 23 196 0.821
10 24 173 0.852
10 25 158 0.72
10 26 178 0.674
10 27 168 0.816
10 28 141 0.84
10 29 174 0.818
10 30 189 0.834
10 31 162 0.755
10 32 165 0.738
10 33 172 0.705
10 34 172 0.657
10 35 171 0.716
10 36 177 0.649
10 37 185 0.782
10 38 197 0.825
10 39 195 0.832
10 40 157 0.829
10 41 192 0.891
10 42 149 0.787
10 43 165 0.786
10 44 224 0.927
10 45 200 0.899
10 46 273 0.665
10 47 303 0.908
10 48 0 0.0
11 1 404 0.683
11 2 358 0.718
11 3 242 0.808
11 4 245 0.867
11 5 250 0.702
11 6 262 0.773
11 7 233 0.56
11 8 220 0.74
11 9 210 0.802
11 10 165 0.706
11 11 191 0.807
11 12 185 0.792
11 13 57 0.724
11 14 46 0.748
11 15 203 0.595
11 16 213 0.791
11 17 0 0.0
11 18 0 0.0
11 19 194 0.856
11 20 206 0.926
11 21 152 0.686
11 22 172 0.736
11 23 154 0.881
11 24 175 0.718
11 25 176 0.784
11 26 187 0.793
11 27 161 0.689
11 28 177 0.824
11 29 135 0.776
11 30 134 0.715
11 31 155 0.763
11 32 168 0.808
11 33 178 0.885
11 34 182 0.786
11 35 179 0.842
11 36 167 0.778
11 37 189 0.806
11 38 202 0.744
11 39 182 0.867
11 40 191 0.676
11 41 211 0.823
11 42 208 0.853
11 43 167 0.796
11 44 207 0.718
11 45 273 0.77
11 46 265 0.861
11 47 345 0.821
11 48 398 0.695
12 1 0 0.0
12 2 0 0.0
12 3 301 0.84
12 4 277 0.731
12 5 0 0.0
12 6 0 0.0
12 7 246 0.695
12 8 250 0.867
12 9 84 0.752
12 10 223 0.802
12 11 223 0.642
12 12 204 0.901
12 13 196 0.764
12 14 198 0.91
12 15 228 0.776
12 16 228 0.871
12 17 0 0.0
12 18 0 0.0
12 19 224 0.771
12 20 191 0.793
12 21 196 0.736
12 22 180 0.82
12 23 183 0.88
12 24 204 0.826
12 25 195 0.8
12 26 170 0.597
